id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
1,06/11/2016,P1,Channel1,DMA1,IRI_California - Multi Outlet,5492.971837,30.027168,21.075236,2.613221,61.156506,6.987903,15.052965,0.081322,41.565733,248828.9978,4022.611936,320405.441,99.707414,1113814.64,482735.1369,231037.257,100737.1274,630982.6898,647965.7281,99.997621,99.623606,95.151175,75.874002,99.959613,99.948942,0.057026132,202.770863,87.88232513,42.06052094,18.33927615,114.870913,117.9626889,58.33007168,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939.051555,585177.8086,0,0,0.989347484,0.989347484,99.959613,0,21537.43424,0.048312383,0.070240605,57.98989304,65.58060257,0.966129518,0.966129518,0.910571984,0.920376307,30.027168,21.075236,2.613221,61.156506,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
2,06/18/2016,P1,Channel1,DMA1,IRI_California - Multi Outlet,5478.633281,28.531788,6.194735,2.472196,71.120243,6.891226,3.031343,0.031773,51.537257,256935.3118,4162.677163,322292.5875,99.951235,1135889.069,491092.675,236569.8894,103548.7766,635402.0279,654736.6893,99.999716,99.652604,95.69807,76.056358,99.955516,99.951811,0.046925125,207.3307357,89.63780743,43.18045711,18.90047596,115.9782003,119.5073033,58.82718754,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.784269,593163.2594,0,0,0.979916579,0.979916579,99.955516,0,21701.39745,0.030638766,0.06865739,58.38256952,65.12243212,0.977196054,0.977196054,0.917672725,0.936480456,28.531788,6.194735,2.472196,71.120243,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
3,06/25/2016,P1,Channel1,DMA1,IRI_California - Multi Outlet,4922.142902,21.114807,20.763651,12.38785,57.426284,3.425417,19.294361,2.061476,28.812461,251759.343,4042.399445,297999.245,99.52374,1099868.287,478454.6913,236158.8413,104106.963,628956.582,651208.6901,99.995825,99.622912,95.589454,77.25771,99.953022,99.948933,0.027891871,223.45314,97.20455111,47.97886734,21.15073964,127.7810487,132.3018659,60.54258296,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,850.448414,583613.6166,0,0,0.92415647,0.92415647,99.953022,0,22505.63573,0.018522434,0.042567992,58.72024819,65.78393357,0.965064973,0.965064973,0.900410342,0.974305079,21.114807,20.763651,12.38785,57.426284,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
4,07/02/2016,P1,Channel1,DMA1,IRI_California - Multi Outlet,5198.696491,24.299875,1.146601,0,57.456603,2.684882,0,0,23.394224,282346.3093,4409.959932,325062.4744,99.953448,1215208.825,519672.8158,269827.4775,117731.8889,665745.8414,688219.3652,99.999029,99.643446,96.075436,80.417058,99.961855,99.956651,0.023381601,233.7526007,99.96213795,51.90291027,22.64642475,128.0601479,132.383063,62.52768842,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,896.538986,633502.3011,0,0,0.974024079,0.974024079,99.961855,0,22249.63015,0.01638277,0.033494671,59.49021665,68.62128109,1.035756693,1.035756693,0.96655941,0.992336259,24.299875,1.146601,0,57.456603,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
5,07/09/2016,P1,Channel1,DMA1,IRI_California - Multi Outlet,4886.082167,18.755936,6.585288,1.184156,49.772819,1.907041,3.633285,0.383371,22.795511,266813.8592,4109.804421,309051.2738,99.949744,1139151.847,486752.4651,255468.0158,109816.7129,640094.1517,645077.9603,100,99.637396,95.42441,76.728525,99.952842,99.949467,0.025722793,233.1421798,99.6201964,52.28483825,22.47541264,131.0035586,132.0235596,63.25134601,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,820.330332,587874.099,0,0,0.910928989,0.910928989,99.952842,0,22491.94341,0.014921967,0.042403081,60.20887414,70.26219429,0.973118061,0.973118061,0.917675904,1.007406631,18.755936,6.585288,1.184156,49.772819,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
6,07/16/2016,P1,Channel1,DMA1,IRI_California - Multi Outlet,4878.579103,18.503367,8.827165,1.805346,51.52808,1.298874,7.049457,0.373793,24.101484,262070.9793,4047.207315,309418.3262,99.925318,1121470.57,471434.9878,259469.152,108900.078,637370.7916,645054.4723,99.999366,99.641908,94.226412,77.079252,99.955336,99.953119,0.02053437,229.8764756,96.63366686,53.18539405,22.32208922,130.6468089,132.2217922,63.42386168,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,800.540667,576401.7823,0,0,0.916319471,0.916319471,99.955336,0,21981.85675,0.015267693,0.035634175,60.35943712,69.94669928,0.941180273,0.941180273,0.953265426,1.04031995,18.503367,8.827165,1.805346,51.52808,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
7,07/23/2016,P1,Channel1,DMA1,IRI_California - Multi Outlet,4917.217987,16.425272,21.593157,2.923708,57.337238,1.793429,20.139769,0.092704,25.786947,264862.8346,4084.331578,309341.2323,99.911129,1157385.121,494254.2036,260250.7309,114679.2572,628025.9617,657399.2418,99.99694,99.643734,95.701398,78.431893,99.955375,99.951565,0.029895947,235.3739704,100.5150077,52.92641725,23.32197952,127.7197723,133.6933289,62.90980654,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817.334053,585918.1961,0,0,0.92695517,0.92695517,99.955375,0,23269.79011,0.016384867,0.051739569,59.91957699,70.4476776,0.954502434,0.954502434,0.950402006,1.025294466,16.425272,21.593157,2.923708,57.337238,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
8,07/30/2016,P1,Channel1,DMA1,IRI_California - Multi Outlet,4761.950188,15.119112,22.745767,2.784535,67.448903,1.283479,18.760444,0.087151,33.987213,246150.4653,3780.255068,298729.2737,99.869172,1132745.013,490706.6114,268867.0033,108139.2604,636200.1577,642205.4594,99.999035,99.65467,94.654982,75.428376,99.955994,99.947062,0.036585057,237.8741835,103.0474054,56.46153208,22.70902805,133.6007586,134.86186,62.73254904,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800.695016,577536.8695,0,0,0.918762027,0.918762027,99.955994,0,21503.34054,0.040805219,0.039806949,59.8371186,70.99339737,0.946638132,0.946638132,0.940651255,1.023824699,15.119112,22.745767,2.784535,67.448903,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
9,08/06/2016,P1,Channel1,DMA1,IRI_California - Multi Outlet,4739.857818,17.296789,24.184747,0.836525,52.141846,1.340203,23.438918,0.136344,25.292798,257275.6278,3949.250572,300229.8795,99.180008,1135480.189,491760.8042,272485.4599,115909.7755,644511.4963,650575.9743,99.999503,99.64614,95.185589,77.17578,99.950792,99.949492,0.02769025,239.5599684,103.7501172,57.48810837,24.45427267,135.9769683,137.2564324,63.34153703,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821.013402,592186.921,0,0,0.937806106,0.937806106,99.950792,0,22146.25064,0.012841637,0.053607857,60.42166107,70.48117296,0.96104544,0.96104544,0.931182294,0.992936907,17.296789,24.184747,0.836525,52.141846,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
10,08/13/2016,P1,Channel1,DMA1,IRI_California - Multi Outlet,4755.659359,14.1264,0.044417,0,63.275937,1.223887,0.02954,0,31.229574,264959.9127,4049.290561,304503.6018,99.157499,1152340.897,488493.2009,279169.8432,112716.7534,636861.1677,652945.078,100,99.638509,94.907484,75.813586,99.950199,99.947161,0.021455762,242.3093855,102.7182908,58.70265764,23.70160369,133.9164813,137.2985382,64.02973359,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,794.95527,580680.8623,0,0,0.927217375,0.927217375,99.950199,0,21888.25567,0.013959853,0.036729712,60.36339436,70.95973219,0.956751593,0.956751593,0.93706138,1.010616717,14.1264,0.044417,0,63.275937,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
