id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
157,06/11/2016,P1,Channel1,DMA1,IRI_Florida - Multi Outlet,8448.907428,42.965721,0,0,78.321465,13.886696,0,0,66.125809,413369.0356,6136.165557,537353.6549,99.308026,1289178.459,298357.1297,233439.7281,111701.3275,778795.0783,978941.6927,99.799439,98.508313,95.001591,80.754207,99.505738,99.356371,0.055898294,152.5852271,35.31310199,27.62957579,13.22080144,92.17701637,115.8660692,63.60037194,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665.625282,585177.8086,0,0,0.764769383,0.764769383,99.505738,0,111650.8231,0.043874432,0.071416715,64.7706759,72.17872048,0.966129518,0.966129518,0.910571984,1.190649108,42.965721,0,0,78.321465,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
158,06/18/2016,P1,Channel1,DMA1,IRI_Florida - Multi Outlet,8813.341331,38.667577,2.246094,0,77.378073,12.708897,0,0,65.763995,419733.652,6271.115442,550768.7624,99.357103,1167511.48,293862.0989,240461.4694,110203.8138,807185.7476,1247261.009,99.949477,98.812815,95.339707,80.663641,99.536727,99.390332,0.066316431,132.4709252,33.34287053,27.28380309,12.50420353,91.58680202,141.5196532,62.49261679,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750.869684,593163.2594,0,0,0.762857396,0.762857396,99.536727,0,110554.9032,0.066554172,0.05603458,64.74198714,71.01964757,0.977196054,0.977196054,0.917672725,1.202941375,38.667577,2.246094,0,77.378073,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
159,06/25/2016,P1,Channel1,DMA1,IRI_Florida - Multi Outlet,8354.165728,38.207138,0,0,76.103827,9.414431,0,0,56.816725,441967.6246,6711.540645,528284.7273,99.346044,1216334.305,295486.4789,250133.0987,117372.1716,779657.9406,1012002.404,99.735697,98.721193,95.344196,82.010598,99.532637,99.372978,0.039722537,145.5961426,35.36995656,29.94112241,14.04953833,93.32564926,121.1374585,63.23608419,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,1708.702275,583613.6166,0,0,0.763856001,0.763856001,99.532637,0,109844.1115,0.048961026,0.021041074,64.43133151,68.45380757,0.965064973,0.965064973,0.900410342,1.178769743,38.207138,0,0,76.103827,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
160,07/02/2016,P1,Channel1,DMA1,IRI_Florida - Multi Outlet,8791.75548,42.268724,0.219189,0,75.205058,8.721471,0,0,59.205102,467090.0749,7098.81778,558915.1079,99.384329,1231106.538,324664.6226,275710.9567,178652.0271,835196.1361,1220359.602,99.83239,98.766027,95.954835,84.002941,99.565546,99.423437,0.033825352,140.0296608,36.9283044,31.36017117,20.32040444,94.99765297,138.8072729,63.5726402,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,1851.37893,633502.3011,0,0,0.807944962,0.807944962,99.565546,0,104090.1332,0.04248571,0.01439437,64.25372954,68.63633762,1.035756693,1.035756693,0.96655941,1.196318382,42.268724,0.219189,0,75.205058,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
161,07/09/2016,P1,Channel1,DMA1,IRI_Florida - Multi Outlet,8658.998938,37.566254,12.340636,2.90695,62.017553,8.820254,8.606582,1.604165,53.621675,438845.353,6632.372981,548727.564,99.304191,1127896.249,296126.1959,262786.82,126696.8616,745326.2697,1013026.288,99.853538,98.829549,96.071676,82.605325,99.529824,99.335889,0.042262423,130.2571183,34.19866407,30.34840654,14.63181397,86.07533908,116.9911551,63.37078546,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,1785.839906,587874.099,0,0,0.764230311,0.764230311,99.529824,0,106277.6157,0.053706956,0.016726955,64.20740143,69.38648657,0.973118061,0.973118061,0.917675904,1.20078449,37.566254,12.340636,2.90695,62.017553,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
162,07/16/2016,P1,Channel1,DMA1,IRI_Florida - Multi Outlet,10954.93255,66.738618,31.352806,25.461947,68.793038,24.579143,0,0,64.04767,448204.8245,6914.855725,677011.3862,99.35772,1082876.667,293599.5183,242283.5103,139467.8004,728437.1774,1005608.685,99.688753,98.6763,96.090117,84.042307,99.534739,99.404651,0.046561113,98.84831897,26.80066874,22.1163854,12.73105058,66.49399018,91.79505948,61.79968549,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,2402.253187,576401.7823,0,0,0.873495014,0.873495014,99.534739,0,108042.0473,0.013247227,0.097859725,62.47858553,68.69014394,0.941180273,0.941180273,0.953265426,1.09132326,66.738618,31.352806,25.461947,68.793038,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
163,07/23/2016,P1,Channel1,DMA1,IRI_Florida - Multi Outlet,8780.010013,47.533939,0.479133,0,46.458234,19.521265,0.188527,0,32.449339,507208.979,7823.652875,563070.8938,99.348311,1123224.851,291071.0195,260364.9714,406860.5832,768665.8996,1001229.548,99.664682,98.568607,95.958226,83.906049,99.550517,99.396486,0.010784968,127.9297916,33.15155895,29.65429094,46.33942132,87.54726913,114.035126,64.13100816,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1743.417796,585918.1961,0,0,0.860837836,0.860837836,99.550517,0,106510.7883,0.011137414,0.010217106,62.61377194,68.72339821,0.954502434,0.954502434,0.950402006,1.104043022,47.533939,0.479133,0,46.458234,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
164,07/30/2016,P1,Channel1,DMA1,IRI_Florida - Multi Outlet,10640.4262,56.549773,38.318224,30.078211,65.610228,18.57932,8.163306,1.807039,58.453839,476038.8654,7399.970201,659450.6124,99.329622,1255421.305,293985.5377,243571.4065,139045.3555,761628.4657,1050324.755,99.687073,98.794487,96.267751,84.078209,99.533022,99.373062,0.036590751,117.9859981,27.62911299,22.89113255,13.06764907,71.57875553,98.71077862,61.97595848,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038.74858,577536.8695,0,0,0.820073741,0.820073741,99.533022,0,108740.8041,0.035483381,0.012668136,61.98809529,68.23513147,0.946638132,0.946638132,0.940651255,1.147032526,56.549773,38.318224,30.078211,65.610228,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
165,08/06/2016,P1,Channel1,DMA1,IRI_Florida - Multi Outlet,8559.415741,46.664182,0,0,27.819633,13.331728,0,0,33.263494,496848.2462,7672.57082,548751.8128,99.316634,1096133.003,297311.1244,550140.8396,109348.8855,737142.1747,1187116.885,99.490634,98.776159,95.935866,81.612059,99.531575,99.361255,0.009968549,128.0616617,34.73497881,64.27317661,12.77527448,86.12061816,138.6913454,64.11089605,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1718.936732,592186.921,0,0,0.773959737,0.773959737,99.531575,0,107201.7632,0.007253354,0.012756495,62.50514242,68.58977041,0.96104544,0.96104544,0.931182294,1.203140486,46.664182,0,0,27.819633,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
166,08/13/2016,P1,Channel1,DMA1,IRI_Florida - Multi Outlet,8804.109932,37.395704,0.012354,0,28.291178,11.177341,0.012354,0,33.948128,500022.9113,7767.11421,558966.9301,99.314538,1231359.457,308645.4679,287485.9142,122674.3347,748632.8282,1028335.495,99.481257,99.007855,95.878979,83.291825,99.523282,99.352732,0.013787632,139.8618902,35.05697569,32.65360342,13.93375772,85.03219905,116.8017554,63.48931742,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,1810.356498,580680.8623,0,0,0.838955479,0.838955479,99.523282,0,114848.8555,0.013016518,0.012081747,62.05169365,68.26977507,0.956751593,0.956751593,0.93706138,1.11693815,37.395704,0.012354,0,28.291178,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
