id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
313,06/11/2016,P1,Channel1,DMA2,IRI_Georgia - Multi Outlet,2243.793605,67.886085,0.088927,0.066132,66.977355,31.235082,0.044729,0,62.332715,107714.3408,1573.405687,146105.836,99.210886,379802.0934,120720.7404,123063.468,89992.04428,334658.8065,275114.6577,98.341046,98.215125,96.630895,87.54689,99.751956,99.422335,0.048843795,169.2678384,53.80206991,54.8461622,40.10709545,149.1486587,122.6113922,65.11554168,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571.135344,585177.8086,0,0,0.899943404,0.899943404,99.751956,0,28110.60568,0.047642643,0.039304818,65.82858426,76.90630166,0.966129518,0.966129518,0.910571984,1.011810276,67.886085,0.088927,0.066132,66.977355,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
314,06/18/2016,P1,Channel1,DMA2,IRI_Georgia - Multi Outlet,2245.777396,66.792065,0.037735,0,60.736494,36.597734,0,0,60.292228,109256.3996,1608.170546,145968.1024,99.192517,356977.7873,119908.7523,118542.669,94211.98258,342559.5209,290162.7662,98.187934,98.323465,97.074882,87.731217,99.715874,99.39156,0.043298456,158.9551075,53.3929821,52.78469238,41.95072172,152.5349402,129.2037077,64.99669231,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.111498,593163.2594,0,0,0.920371459,0.920371459,99.715874,0,28354.64575,0.043287937,0.028236526,65.51116739,76.17706102,0.977196054,0.977196054,0.917672725,0.997067778,66.792065,0.037735,0,60.736494,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
315,06/25/2016,P1,Channel1,DMA2,IRI_Georgia - Multi Outlet,2173.301105,74.392496,1.254999,0.28817,61.118127,34.465841,0.548718,0,55.238802,107853.514,1581.90442,142240.2414,99.256716,380278.5016,120209.4979,117162.6872,89937.6998,344164.8859,267925.3403,97.923814,98.31489,96.993838,87.573662,99.675364,99.419813,0.040050206,174.9773654,55.31193889,53.91001133,41.38299088,158.3604247,123.2803589,65.44893438,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,569.074615,583613.6166,0,0,0.911969881,0.911969881,99.675364,0,28318.74678,0.036832943,0.025586052,65.47448037,75.93149736,0.965064973,0.965064973,0.900410342,0.987324648,74.392496,1.254999,0.28817,61.118127,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
316,07/02/2016,P1,Channel1,DMA2,IRI_Georgia - Multi Outlet,2334.275755,70.139425,0.091635,1.330594,66.873493,33.793758,0.066335,0,54.771512,114000.1272,1687.579782,151592.513,99.192482,387298.3731,131725.9904,125269.7071,102985.8247,367895.6169,305595.6494,97.378084,98.401632,97.290356,87.548077,99.721842,99.488965,0.03864327,165.9180036,56.4312036,53.66534217,44.11896259,157.6058939,130.9166874,64.94199011,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,614.354016,633502.3011,0,0,0.993809484,0.993809484,99.721842,0,28416.15714,0.035298157,0.02477056,64.69036529,76.25939614,1.035756693,1.035756693,0.96655941,0.972580183,70.139425,0.091635,1.330594,66.873493,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
317,07/09/2016,P1,Channel1,DMA2,IRI_Georgia - Multi Outlet,2185.159446,48.109516,0.025547,0,64.2196,27.786003,0,0,48.513408,112123.955,1654.383215,142881.7901,99.144889,357160.5333,120210.1752,115840.5152,91612.68159,358241.2191,278012.9774,98.125704,98.717663,97.290898,87.992155,99.684353,99.324175,0.035212968,163.448271,55.01208409,53.01238562,41.92494134,163.942828,127.2277764,65.3873521,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,590.160548,587874.099,0,0,0.908675056,0.908675056,99.684353,0,28452.99556,0.03320672,0.014684839,64.746319,75.89700475,0.973118061,0.973118061,0.917675904,1.009905464,48.109516,0.025547,0,64.2196,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
318,07/16/2016,P1,Channel1,DMA2,IRI_Georgia - Multi Outlet,2308.322139,66.03765,27.651326,0.557866,71.678416,40.935945,0,0,58.152238,112767.0969,1664.016384,150645.6115,99.230124,335453.5091,118092.7066,123226.2018,92869.62161,341133.0629,305050.1476,97.954916,98.469606,97.200101,87.332461,99.708537,99.529668,0.036980091,145.3235246,51.15954338,53.383451,40.23252216,147.783993,132.1523294,65.26195324,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,677.892545,576401.7823,0,0,0.948535558,0.948535558,99.708537,0,27627.79152,0.032339662,0.039291294,64.88544761,75.45462321,0.941180273,0.941180273,0.953265426,1.004986495,66.03765,27.651326,0.557866,71.678416,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
319,07/23/2016,P1,Channel1,DMA2,IRI_Georgia - Multi Outlet,2301.029333,69.277983,1.561402,0,76.935244,34.843096,0.062269,0,62.252457,111830.4292,1661.839328,148342.1324,99.202865,353942.3989,120447.1371,127116.522,96641.77808,336550.8316,314128.7401,97.869531,98.624065,97.272571,88.392978,99.709507,99.526527,0.041986998,153.8191599,52.34489425,55.24332966,41.99936815,146.2609914,136.516617,64.46772767,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.731494,585918.1961,0,0,0.96380789,0.96380789,99.709507,0,28523.15698,0.036957856,0.010529133,63.86976587,75.60636203,0.954502434,0.954502434,0.950402006,0.986090709,69.277983,1.561402,0,76.935244,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
320,07/30/2016,P1,Channel1,DMA2,IRI_Georgia - Multi Outlet,2484.008784,74.252381,44.815389,27.227021,78.143796,37.393295,37.523371,0.292706,66.597557,107392.7906,1610.598101,157652.1867,99.142196,373415.7966,121693.3422,128061.0698,93995.12813,333240.2164,330732.1629,97.772433,98.705826,97.080658,88.02881,99.774514,99.56325,0.048171013,150.3278889,48.99070526,51.55419362,37.8400949,134.1542021,133.1445223,63.46683946,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.874961,577536.8695,0,0,0.991476337,0.991476337,99.774514,0,28941.00244,0.045688586,0.024056115,63.71479522,75.51890737,0.946638132,0.946638132,0.940651255,0.948737978,74.252381,44.815389,27.227021,78.143796,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
321,08/06/2016,P1,Channel1,DMA2,IRI_Georgia - Multi Outlet,2427.204024,58.425454,1.165012,0.186881,79.131355,29.4349,0.520111,0,68.722265,110097.0301,1648.432101,154550.9736,99.160195,349361.2355,117750.4032,162680.9758,90915.93885,335148.4595,328808.2278,97.753588,98.553689,97.270499,88.087008,99.711173,99.459013,0.046631231,143.9356692,48.51277521,67.02402196,37.45706498,138.0800527,135.4678983,63.67448804,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.845418,592186.921,0,0,0.999394489,0.999394489,99.711173,0,28883.98766,0.043380788,0.022830253,63.75476203,75.686828,0.96104544,0.96104544,0.931182294,0.931746476,58.425454,1.165012,0.186881,79.131355,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
322,08/13/2016,P1,Channel1,DMA2,IRI_Georgia - Multi Outlet,2365.857842,59.136843,0.221776,0,78.718162,24.699303,0.01217,0,67.315568,108967.0634,1636.024171,150748.3521,99.16344,378557.6732,117983.8087,137634.8537,96924.0819,333754.5493,311609.8516,97.596039,98.361559,97.356307,87.609912,99.746108,99.409099,0.04333828,160.0086305,49.86935673,58.17545385,40.96783846,141.0712611,131.7111477,63.71826296,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,648.480883,580680.8623,0,0,1.017220772,1.017220772,99.746108,0,28845.38307,0.040192617,0.021604427,63.42974984,76.4206687,0.956751593,0.956751593,0.93706138,0.921197645,59.136843,0.221776,0,78.718162,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
