id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
469,06/11/2016,P1,Channel1,DMA2,IRI_Illinois - Multi Outlet,2428.269734,26.727446,38.583282,7.119159,59.899298,13.377643,34.203829,1.167506,44.430599,126284.5071,1964.149743,151625.9636,99.981025,590677.5282,113115.98,97680.44076,78977.76873,240850.1979,210490.3202,100,96.79507,89.966969,72.303641,100,99.902579,0.028816785,243.250377,46.5829551,40.22635517,32.52429811,99.18593249,86.6832532,62.4419773,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.013627,585177.8086,0,0,0.884745709,0.884745709,100,0,29135.02319,0.011372546,0.043751415,61.68230396,66.24166752,0.966129518,0.966129518,0.910571984,1.02919062,26.727446,38.583282,7.119159,59.899298,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
470,06/18/2016,P1,Channel1,DMA2,IRI_Illinois - Multi Outlet,2501.38354,29.956637,36.976672,8.997202,62.50246,19.371998,36.321128,0.354527,46.888679,131924.94,2040.344986,156870.3352,100,605468.3686,113824.6761,102282.1268,78671.77989,250099.6789,210181.9366,100,96.462269,90.873989,72.550801,100,99.878864,0.030077048,242.0533912,45.50468742,40.89022142,31.4513063,99.98453852,84.02627316,62.71342747,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.220171,593163.2594,0,0,0.866859259,0.866859259,100,0,29313.27713,0.01311257,0.044555885,62.06329219,66.45862258,0.977196054,0.977196054,0.917672725,1.058617896,29.956637,36.976672,8.997202,62.50246,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
471,06/25/2016,P1,Channel1,DMA2,IRI_Illinois - Multi Outlet,2478.896366,17.208243,42.543913,9.996433,37.738866,8.219194,39.676503,6.521835,16.223009,131101.7851,2048.022785,153408.3952,100,619550.4165,109737.9513,102157.387,75864.50709,243714.4627,213009.894,100,96.700205,90.030385,72.79364,100,99.968994,0.033243869,249.9299386,44.26887417,41.21083414,30.60414632,98.31571261,85.92932602,61.88576388,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,674.904049,583613.6166,0,0,0.846279222,0.846279222,100,0,30045.30526,0.017591071,0.050266906,60.95952082,66.60060773,0.965064973,0.965064973,0.900410342,1.063963664,17.208243,42.543913,9.996433,37.738866,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
472,07/02/2016,P1,Channel1,DMA2,IRI_Illinois - Multi Outlet,2452.617145,22.474478,42.741509,22.30494,39.465628,13.139577,38.065988,12.179833,23.433772,132937.0655,2039.742145,157447.7854,100,699498.7411,128979.5354,108850.4226,85659.34223,263579.4541,223423.5737,100,96.515685,92.411786,75.925289,100,100,0.015000572,285.2050278,52.58853208,44.38133478,34.92568842,107.4686502,91.09598461,64.19582678,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,720.016363,633502.3011,0,0,0.863464369,0.863464369,100,0,30068.49935,0.015250929,0.009162851,61.65183971,68.63999517,1.035756693,1.035756693,0.96655941,1.119396984,22.474478,42.741509,22.30494,39.465628,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
473,07/09/2016,P1,Channel1,DMA2,IRI_Illinois - Multi Outlet,2403.778475,18.626344,39.049882,29.205847,42.28947,11.440167,33.62818,20.406396,24.788777,126865.7068,1946.539398,152961.9825,100,618192.6139,105245.5484,108928.5194,78041.36175,247361.9605,210523.1989,100,96.751656,92.125101,72.856882,100,100,0.023644411,257.175368,43.78338083,45.3155399,32.46612055,102.9054728,87.58011651,63.6339763,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,592.358124,587874.099,0,0,0.853721762,0.853721762,100,0,30482.0548,0.016602966,0.027996984,61.36136137,68.70056821,0.973118061,0.973118061,0.917675904,1.074912161,18.626344,39.049882,29.205847,42.28947,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
474,07/16/2016,P1,Channel1,DMA2,IRI_Illinois - Multi Outlet,3022.259348,42.777767,38.435796,15.010134,34.408057,25.933825,39.510767,10.721893,17.250782,133611.9411,2066.147027,174356.941,100,623147.2042,106128.8774,109805.8151,77877.89818,239970.0181,210295.5058,100,96.387354,90.493112,73.68572,100,100,0.10787962,206.1858803,35.1157413,36.33236015,25.76810565,79.40086884,69.58221701,57.6909262,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,916.780425,576401.7823,0,0,0.946659415,0.946659415,100,0,29337.09458,0.011980422,0.182738547,61.80512105,66.86446803,0.941180273,0.941180273,0.953265426,1.006978234,42.777767,38.435796,15.010134,34.408057,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
475,07/23/2016,P1,Channel1,DMA2,IRI_Illinois - Multi Outlet,2369.947395,46.458742,2.785405,0,41.32114,27.785831,2.817901,0,27.858447,130970.1232,2018.108967,150709.6602,99.781944,576931.3366,148456.9154,118518.4651,79499.70445,242096.2615,211543.8593,100,96.439399,91.754929,75.55056,100,100,0.020115788,243.4363471,62.64143909,50.00890119,33.54492366,102.1525887,89.26099362,63.59198542,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598.704173,585918.1961,0,0,0.861057469,0.861057469,100,0,30724.46435,0.010609287,0.027480152,60.7490256,68.91029721,0.954502434,0.954502434,0.950402006,1.103761409,46.458742,2.785405,0,41.32114,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
476,07/30/2016,P1,Channel1,DMA2,IRI_Illinois - Multi Outlet,2383.020763,45.281185,1.669294,0.486741,41.575125,27.486672,1.529992,0.416867,28.909445,132763.6024,2049.188367,152581.0651,100,581947.0302,112385.8352,111364.2218,80820.82767,239100.9098,210959.1167,100,96.862943,91.478148,77.081151,100,100,0.011729869,244.2056063,47.16108099,46.73237579,33.91528472,100.3352189,88.52592473,64.02842454,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577.454834,577536.8695,0,0,0.862273734,0.862273734,100,0,29030.1752,0.008286593,0.016267508,60.96061473,68.71570096,0.946638132,0.946638132,0.940651255,1.090896334,45.281185,1.669294,0.486741,41.575125,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
477,08/06/2016,P1,Channel1,DMA2,IRI_Illinois - Multi Outlet,2310.059109,19.567749,39.235985,9.135031,25.496336,8.919317,39.250526,4.944782,17.612733,122935.7604,1849.400925,147687.4075,99.629864,581760.0113,105606.5634,115942.6389,81324.11866,241907.4481,221431.568,100,96.200877,90.993416,76.684787,100,100,0.0382256,251.8377166,45.71595722,50.19033429,35.20434535,104.7191594,95.85536887,63.93230672,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666.336389,592186.921,0,0,0.953902363,0.953902363,100,0,29623.56159,0.010324502,0.069059314,63.74838381,68.67117604,0.96104544,0.96104544,0.931182294,0.976181976,19.567749,39.235985,9.135031,25.496336,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
478,08/13/2016,P1,Channel1,DMA2,IRI_Illinois - Multi Outlet,2450.253486,21.567845,10.917306,1.044583,65.782313,12.616569,4.126475,0,51.904877,127306.8324,1936.144016,155280.3563,99.689014,576159.8652,105196.7824,120317.4647,78753.83812,241649.1378,220982.2299,100,96.059172,90.400046,75.715963,100,100,0.036189953,235.1429632,42.9330202,49.10408878,32.14109829,98.62209734,90.1874974,63.37318044,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,680.278813,580680.8623,0,0,0.953534072,0.953534072,100,0,29102.68213,0.006937336,0.061999479,63.71133569,67.17681909,0.956751593,0.956751593,0.93706138,0.98272459,21.567845,10.917306,1.044583,65.782313,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
