id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
781,06/11/2016,P1,Channel2,DMA3,IRI_Maine - Multi Outlet,838.086068,78.893442,0,0,73.685008,10.488038,0,0,71.424647,42583.92952,569.182799,59414.73762,99.887769,138431.0037,18861.31622,36489.32939,58665.98241,20887.01624,74465.23223,100,95.584005,97.024928,92.605038,97.815087,99.660111,0.052429362,165.1751641,22.50522584,43.5388808,69.99994951,24.92228072,88.85153341,70.89336039,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.16803,585177.8086,0,0,0.868967684,0.868967684,97.815087,0,6202.242747,0.001404321,0.130602331,72.32454504,80.19751219,0.966129518,0.966129518,0.910571984,1.047877845,78.893442,0,0,73.685008,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
782,06/18/2016,P1,Channel2,DMA3,IRI_Maine - Multi Outlet,900.309821,72.538368,0,0,84.121048,14.376779,0,0,84.697193,40489.92574,543.420037,62547.75728,99.677742,154423.4485,19229.27075,45860.36366,58510.89185,21092.89066,78992.33578,100,96.940641,96.495766,92.938032,98.31131,99.619658,0.067586781,171.5225635,21.35850381,50.93842428,64.98972962,23.42848002,87.73905818,69.4735921,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.3137,593163.2594,0,0,0.891817721,0.891817721,98.31131,0,6343.127803,0.008672011,0.141748502,72.09758584,79.33479307,0.977196054,0.977196054,0.917672725,1.028991355,72.538368,0,0,84.121048,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
783,06/25/2016,P1,Channel2,DMA3,IRI_Maine - Multi Outlet,871.322013,76.270388,0,0,80.220651,26.060459,0,0,82.444777,39296.93318,529.484839,60281.22978,99.482485,155776.7132,19731.93887,42917.37952,57979.49824,21319.66589,77481.97692,100,96.397484,94.616706,93.848638,98.293604,99.834381,0.067823204,178.7820242,22.64597769,49.25547488,66.5419872,24.46818234,88.92461772,69.1836415,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,233.92614,583613.6166,0,0,0.870081918,0.870081918,98.293604,0,6489.78142,0.006216632,0.14052283,72.10487505,78.71543208,0.965064973,0.965064973,0.900410342,1.034856975,76.270388,0,0,80.220651,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
784,07/02/2016,P1,Channel2,DMA3,IRI_Maine - Multi Outlet,1054.959525,75.249859,0,0,77.251575,24.896909,0,0,81.565959,46687.9458,630.466827,73043.14345,99.860272,184826.188,23602.60084,55963.66894,67459.1714,23580.90437,98210.22311,100,96.590223,95.032323,94.623157,98.444652,99.759996,0.06502256,175.197421,22.37299184,53.04816689,63.9447958,22.35242567,93.09383041,69.23786337,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,290.775873,633502.3011,0,0,1.005782045,1.005782045,98.444652,0,6386.978289,0.011884168,0.136334865,72.21906517,78.77161812,1.035756693,1.035756693,0.96655941,0.961002848,75.249859,0,0,77.251575,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
785,07/09/2016,P1,Channel2,DMA3,IRI_Maine - Multi Outlet,963.549199,70.742293,0,0,78.329957,24.941568,0,0,82.650322,43295.76899,582.976604,66712.52596,99.75296,179920.5074,22000.47994,51219.41378,57058.54136,24490.16994,83640.09097,100,97.047315,96.77041,95.241036,98.488173,99.794271,0.067735475,186.7268507,22.83275205,53.15703012,59.21705029,25.41662634,86.80417262,69.23624248,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,271.73065,587874.099,0,0,1.010408943,1.010408943,98.488173,0,6616.312191,0.015190238,0.144662691,72.19050099,79.70786514,0.973118061,0.973118061,0.917675904,0.90822227,70.742293,0,0,78.329957,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
786,07/16/2016,P1,Channel2,DMA3,IRI_Maine - Multi Outlet,1071.986965,21.116351,0,0,82.818704,8.48312,0,0,82.016133,46220.94706,621.496715,71538.86454,99.869174,168327.4714,22401.12284,46471.33865,65701.50922,24153.49317,84306.2545,100,96.971654,95.482012,94.933663,98.529218,99.846012,0.10266928,157.0238043,20.89682391,43.35065646,61.28946654,22.5315176,78.64485041,66.73482689,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,282.839389,576401.7823,0,0,1.201450833,1.201450833,98.529218,0,6070.846616,0.119402294,0.049115201,71.15378159,81.09590537,0.941180273,0.941180273,0.953265426,0.793428578,21.116351,0,0,82.818704,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
787,07/23/2016,P1,Channel2,DMA3,IRI_Maine - Multi Outlet,1060.152256,14.350007,0.748191,0,87.07752,4.300852,0.748191,0,80.720793,45269.54602,600.779053,69863.71,99.77928,169822.0803,23351.82977,48507.78282,62703.82435,24219.95071,89098.23414,100,97.242019,96.17131,94.920431,98.493146,99.795821,0.125435096,160.1865009,22.0268642,45.75548705,59.14605567,22.8457286,84.04286614,65.89969469,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.216361,585918.1961,0,0,1.243693887,1.243693887,98.493146,0,6217.112319,0.140134403,0.034239972,71.3899368,82.27100157,0.954502434,0.954502434,0.950402006,0.764176793,14.350007,0.748191,0,87.07752,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
788,07/30/2016,P1,Channel2,DMA3,IRI_Maine - Multi Outlet,1051.657226,13.793241,0.995396,0.012144,84.907746,7.521978,0.692375,0,82.182742,49320.02677,672.542079,69049.28374,99.901065,173075.8149,23661.05018,51175.11841,66676.78648,23332.2322,91113.65809,100,97.279171,95.424498,95.367214,98.616397,99.824629,0.104674145,164.57436,22.49882338,48.6614052,63.40163395,22.18615688,86.63817053,65.65759454,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.894368,577536.8695,0,0,1.284113832,1.284113832,98.616397,0,6189.034822,0.122456543,0.010241455,69.92700201,79.7510655,0.946638132,0.946638132,0.940651255,0.732529494,13.793241,0.995396,0.012144,84.907746,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
789,08/06/2016,P1,Channel2,DMA3,IRI_Maine - Multi Outlet,1128.299538,13.197046,0.663569,0,88.862688,4.116442,0.663569,0,78.777362,51642.91115,696.463534,74870.27577,99.891008,180534.0946,25499.03954,49873.04193,67186.23529,23851.50975,91059.93055,100,97.389325,95.944059,95.180596,98.503755,99.71467,0.105103749,160.0054671,22.59953025,44.20195192,59.54645289,21.13934194,80.70545762,66.35673706,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.630945,592186.921,0,0,1.328152156,1.328152156,98.503755,0,6061.243519,0.124828115,0.00681394,70.65017702,80.17304089,0.96104544,0.96104544,0.931182294,0.701111156,13.197046,0.663569,0,88.862688,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
790,08/13/2016,P1,Channel2,DMA3,IRI_Maine - Multi Outlet,1112.008202,67.839943,0.679398,0,82.416765,34.367273,0.679398,0,80.589912,48895.51813,668.187047,72831.72077,99.808478,173984.362,24092.44538,49576.41332,65555.79502,23476.9069,86039.6423,100,96.840935,97.416001,95.271281,98.417557,99.88593,0.104961781,156.4596032,21.66570834,44.58277667,58.95261825,21.11217063,77.37320835,65.49566868,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,280.058828,580680.8623,0,0,1.113931075,1.113931075,98.417557,0,6145.036992,0.121026025,0.066017246,70.35805966,78.15113366,0.956751593,0.956751593,0.93706138,0.841220253,67.839943,0.679398,0,82.416765,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
