id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
937,06/11/2016,P1,Channel2,DMA4,IRI_New Hampshire - Multi Outlet,300.059546,15.563364,0,0,8.205791,2.7559,0,0,5.954351,26549.51141,282.740631,28044.38823,98.040089,198903.7125,27789.25539,26458.07437,51152.47497,52680.71922,60476.57418,100,98.355158,97.103363,93.459022,98.468236,99.419171,0.004662853,662.8808024,92.61246902,88.17607952,170.4744131,175.5675497,201.548576,93.46274305,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.114499,585177.8086,0,0,0.797826438,0.797826438,98.468236,0,7495.521917,0.010755918,0.006547608,88.47867278,102.5588915,0.966129518,0.966129518,0.910571984,1.141315881,15.563364,0,0,8.205791,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
938,06/18/2016,P1,Channel2,DMA4,IRI_New Hampshire - Multi Outlet,312.51068,31.441209,0,0,18.197362,0.804293,0,0,12.684093,27313.5039,291.913492,29066.9729,98.627265,201385.5765,28753.87531,30554.39594,45942.33022,52228.61624,58775.03936,100,98.564955,97.008006,93.559383,98.10881,99.409657,0.005942073,644.4118222,92.0092566,97.77072572,147.0104327,167.1258605,188.0736986,93.01113465,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.849299,593163.2594,0,0,0.785957799,0.785957799,98.10881,0,7844.48819,0.003175189,0.019976322,89.43813891,102.1431525,0.977196054,0.977196054,0.917672725,1.167585239,31.441209,0,0,18.197362,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
939,06/25/2016,P1,Channel2,DMA4,IRI_New Hampshire - Multi Outlet,293.287298,17.899537,0,0,18.470743,5.982297,0,0,13.077627,25868.48382,275.894685,27483.01262,98.299797,190445.1869,27327.6968,29923.24023,42467.08613,52580.51193,55639.43163,100,98.209449,97.166512,93.988352,98.599591,99.480231,0.000590573,649.3468625,93.17722577,102.0270582,144.7968814,179.279881,189.7096532,93.70679463,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,104.327343,583613.6166,0,0,0.751413843,0.751413843,98.599591,0,7867.596273,0.00013938,0.01161054,89.88597072,101.9837884,0.965064973,0.965064973,0.900410342,1.198288201,17.899537,0,0,18.470743,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
940,07/02/2016,P1,Channel2,DMA4,IRI_New Hampshire - Multi Outlet,327.093803,13.977143,0,0,19.510936,1.262802,0,0,15.52403,28761.93939,306.846456,30505.70237,98.56099,217808.1281,32139.946,33930.3542,49024.43547,60365.31518,66473.43182,100,98.726881,95.911336,95.089938,98.249296,99.582033,0.005026171,665.8888864,98.25911015,103.7327944,149.878827,184.5504704,203.2243694,93.26285643,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,135.711808,633502.3011,0,0,0.829453148,0.829453148,98.249296,0,7652.688989,0.005806149,0.015005563,89.52282592,102.1140118,1.035756693,1.035756693,0.96655941,1.165297175,13.977143,0,0,19.510936,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
941,07/09/2016,P1,Channel2,DMA4,IRI_New Hampshire - Multi Outlet,327.52378,28.673676,0,0,24.07044,1.9959,0,0,18.778882,29065.09504,305.21355,30959.29011,97.997833,193192.8375,30440.33662,34010.07307,41832.92829,59401.83584,61175.54334,100,98.15756,97.093674,93.524826,98.11388,99.385601,0.007386405,589.8589635,92.94084418,103.8400114,127.7248579,181.3664822,186.7819897,94.52531994,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,125.775105,587874.099,0,0,0.866470513,0.866470513,98.11388,0,7817.33082,0.006123128,0.015965221,91.52818681,101.8805114,0.973118061,0.973118061,0.917675904,1.059096519,28.673676,0,0,24.07044,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
942,07/16/2016,P1,Channel2,DMA4,IRI_New Hampshire - Multi Outlet,344.144371,1.007262,1.035508,0,44.708108,0,0.614157,0,36.051536,28030.59678,300.527042,31343.01092,98.401509,180617.3285,28234.86726,32449.64724,47901.73338,80350.35317,66507.71886,100,96.69533,94.330643,94.582021,97.792122,99.679627,0.023547198,524.830112,82.04367027,94.29079776,139.1908091,233.4786214,193.2552863,91.07518125,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,115.716889,576401.7823,0,0,1.00580619,1.00580619,97.792122,0,7208.68121,0.027620802,0.013751653,87.89930226,102.2551191,0.941180273,0.941180273,0.953265426,0.947762536,1.007262,1.035508,0,44.708108,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
943,07/23/2016,P1,Channel2,DMA4,IRI_New Hampshire - Multi Outlet,368.293503,2.573568,0,0,46.416888,0.157005,0,0,42.760336,29294.39066,312.116453,33500.70103,98.383898,182550.9794,28780.16574,32790.34371,46778.22451,80010.55602,66590.06203,100,98.156453,95.295329,94.603829,97.888733,99.583444,0.030847699,495.6671191,78.14464696,89.03318543,127.0134395,217.2467216,180.8070508,90.96196591,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.858243,585918.1961,0,0,1.00485608,1.00485608,97.888733,0,7343.730118,0.038800561,0.011770888,88.50603629,102.4558087,0.954502434,0.954502434,0.950402006,0.945809082,2.573568,0,0,46.416888,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
944,07/30/2016,P1,Channel2,DMA4,IRI_New Hampshire - Multi Outlet,364.848896,1.976288,0,0,45.722183,0.345977,0,0,40.805313,29436.88932,314.657433,33111.55891,98.322301,184531.7772,30134.79514,31450.64308,47078.79816,58925.97022,66427.9881,100,98.555544,95.78737,94.576833,97.28785,99.614675,0.029908561,505.7758959,82.59527568,86.20183159,129.0364277,161.507876,182.0698619,90.75417051,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.005209,577536.8695,0,0,0.920627309,0.920627309,97.28785,0,7382.24492,0.038593275,0.006464964,88.80670336,101.8525047,0.946638132,0.946638132,0.940651255,1.021750328,1.976288,0,0,45.722183,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
945,08/06/2016,P1,Channel2,DMA4,IRI_New Hampshire - Multi Outlet,387.349679,22.025897,0,0,52.957413,0.910891,0,0,46.893114,29390.5257,315.323687,34683.41457,98.313682,201846.152,33516.11505,34739.65103,53739.30346,61119.25119,65032.33658,100,98.401641,95.645717,94.707047,98.660621,99.471829,0.039344025,521.0954422,86.52676615,89.68550371,138.7358928,157.7883101,167.8905139,89.54032105,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.749022,592186.921,0,0,0.912534893,0.912534893,98.660621,0,7056.606058,0.030143829,0.050758484,88.28584692,100.9802555,0.96104544,0.96104544,0.931182294,1.020434726,22.025897,0,0,52.957413,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
946,08/13/2016,P1,Channel2,DMA4,IRI_New Hampshire - Multi Outlet,407.729659,9.202263,0,0,55.045516,0,0,0,53.353019,25366.00878,275.676398,33511.93739,97.993196,214180.9942,30732.75601,34222.62304,49273.63935,56266.85786,57344.80186,100,98.521911,97.05291,94.885725,98.715769,99.564547,0.106746597,525.3014822,75.37532611,83.93459314,120.8487984,138.0004045,140.6441759,82.19156162,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,149.559885,580680.8623,0,0,0.938380098,0.938380098,98.715769,0,7408.70758,0.026213296,0.209708514,88.05516523,98.27131035,0.956751593,0.956751593,0.93706138,0.998594686,9.202263,0,0,55.045516,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
