id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
1093,06/11/2016,P1,Channel2,DMA4,IRI_North Carolina - Multi Outlet,3144.331724,56.977403,7.884866,5.073429,51.112648,11.229167,7.855778,0.768679,43.890545,160402.8527,2321.353709,206344.8011,98.480589,660211.9969,142865.6566,220558.7161,125088.557,217693.2262,366600.3821,99.924687,96.581602,96.11269,88.73837,98.75693,98.364024,0.050282576,209.9689393,45.43593652,70.14486239,39.78223927,69.23354318,116.5908734,65.62437402,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976.357076,585177.8086,0,0,0.889388966,0.889388966,98.75693,0,37386.29022,0.049881539,0.023176548,65.9271856,77.29011468,0.966129518,0.966129518,0.910571984,1.023817496,56.977403,7.884866,5.073429,51.112648,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1094,06/18/2016,P1,Channel2,DMA4,IRI_North Carolina - Multi Outlet,3208.873264,35.540143,2.856768,0.540494,64.341447,11.801365,0.982113,0.273081,61.103496,153395.5468,2221.534378,205761.0708,98.559548,673715.3446,135668.6338,213782.7949,135094.1152,209656.259,369627.0077,99.902909,96.434425,95.985023,87.966295,98.711242,98.218715,0.071352416,209.9538652,42.27921225,66.62238652,42.10017164,65.33640993,115.1890328,64.12252958,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929.654624,593163.2594,0,0,0.93006296,0.93006296,98.711242,0,37936.0434,0.06939916,0.034640092,65.56350789,77.80448805,0.977196054,0.977196054,0.917672725,0.986678069,35.540143,2.856768,0.540494,64.341447,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1095,06/25/2016,P1,Channel2,DMA4,IRI_North Carolina - Multi Outlet,3376.632774,62.982917,23.801794,7.098128,53.069774,16.469365,21.600246,2.722111,49.979677,149287.2638,2151.791826,210214.1701,98.543898,772925.0739,139064.018,216354.6683,125425.4556,202790.0124,335409.2826,100,96.604934,96.384106,88.958272,98.79755,98.426834,0.102662843,228.9040964,41.18422917,64.07408883,37.1451277,60.05687499,99.33247263,62.25556173,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,986.159063,583613.6166,0,0,0.895483416,0.895483416,98.79755,0,37296.7396,0.111122922,0.021346659,65.92246068,77.59388585,0.965064973,0.965064973,0.900410342,1.005501974,62.982917,23.801794,7.098128,53.069774,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1096,07/02/2016,P1,Channel2,DMA4,IRI_North Carolina - Multi Outlet,3093.745506,59.124043,14.785543,12.760117,74.212434,19.69652,0.102175,0,67.214469,156580.9408,2262.366159,204731.8521,98.525782,852640.5233,150384.5569,254060.9792,137143.3283,223637.6533,372156.0509,99.973734,96.554577,96.446089,89.481373,98.810277,98.494362,0.043852646,275.6013776,48.60922032,82.12083984,44.32922102,72.28702324,120.2930397,66.17604832,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,928.055175,633502.3011,0,0,1.028252874,1.028252874,98.810277,0,39288.0753,0.043332647,0.028399952,66.17117056,76.46667963,1.035756693,1.035756693,0.96655941,0.940001662,59.124043,14.785543,12.760117,74.212434,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
1097,07/09/2016,P1,Channel2,DMA4,IRI_North Carolina - Multi Outlet,2824.124167,60.353515,0.445972,0.01145,74.809895,18.691887,0.010512,0,59.165028,148395.9768,2157.8407,188460.0582,98.148467,662565.7991,158879.3468,223545.2991,128679.7163,227687.4267,351734.9503,100,96.196653,96.006188,89.158805,98.621382,98.349139,0.029640221,234.6093018,56.25791835,79.1556199,45.56446838,80.62231447,124.5465601,66.73221397,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,825.16972,587874.099,0,0,0.883144178,0.883144178,98.621382,0,37009.61956,0.019076578,0.059342697,65.98853525,75.63691201,0.973118061,0.973118061,0.917675904,1.039100893,60.353515,0.445972,0.01145,74.809895,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1098,07/16/2016,P1,Channel2,DMA4,IRI_North Carolina - Multi Outlet,3576.717237,61.65523,1.549405,0.36554,79.106731,15.788931,0,0,72.271167,149809.4042,2202.630834,227347.8878,98.341112,668804.7978,156023.5906,228468.1004,127781.0234,224678.8584,381753.2016,99.941227,96.342416,96.220503,90.11914,98.711483,98.514409,0.065436202,186.988446,43.62200875,63.87647814,35.72578287,62.81705919,106.7328436,63.5632824,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,1092.099208,576401.7823,0,0,1.013313309,1.013313309,98.711483,0,37982.48358,0.04509767,0.114146838,64.54599076,75.64438017,0.941180273,0.941180273,0.953265426,0.940741049,61.65523,1.549405,0.36554,79.106731,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1099,07/23/2016,P1,Channel2,DMA4,IRI_North Carolina - Multi Outlet,3690.598017,63.097675,33.538336,4.367802,76.508717,20.662612,0,0,73.839478,151935.4396,2242.740333,233535.219,98.436562,720644.9333,166392.2528,233387.0878,131208.7833,206632.8598,364822.3587,99.982902,96.46873,96.332058,91.300081,98.830416,98.571142,0.065938337,195.2650844,45.0854447,63.23828462,35.55217412,55.98899117,98.85182754,63.27842207,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115.008537,585918.1961,0,0,1.017718234,1.017718234,98.830416,0,37973.24129,0.04793683,0.108360913,64.34162863,75.55246533,0.954502434,0.954502434,0.950402006,0.933855731,63.097675,33.538336,4.367802,76.508717,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1100,07/30/2016,P1,Channel2,DMA4,IRI_North Carolina - Multi Outlet,3446.411025,57.04768,28.569392,7.212791,68.662603,13.309689,25.378477,2.949469,61.548762,145090.8149,2135.161609,221022.7715,98.314993,652130.0477,143556.2819,234418.1946,131419.819,205126.755,355070.3414,99.889625,96.259468,96.158071,90.660836,98.710084,98.466687,0.056241705,189.2200446,41.65384827,68.01806079,38.1323696,59.51894696,103.0261158,64.13128611,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026.57967,577536.8695,0,0,0.958958791,0.958958791,98.710084,0,38415.46248,0.046382831,0.071603639,64.47992027,76.16426259,0.946638132,0.946638132,0.940651255,0.980908944,57.04768,28.569392,7.212791,68.662603,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1101,08/06/2016,P1,Channel2,DMA4,IRI_North Carolina - Multi Outlet,3560.757895,22.8779,27.125538,5.71175,54.507681,8.20484,22.942484,2.866969,57.396589,151356.4839,2210.612541,229677.2563,98.461925,644440.9331,146410.4443,239216.7617,132289.459,201154.1611,338263.6265,99.965257,96.316541,96.179741,90.452965,98.652533,98.5368,0.057921386,180.984204,41.11777566,67.1814172,37.15205102,56.49195116,94.99764839,64.50235121,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055.918252,592186.921,0,0,0.901305475,0.901305475,98.652533,0,37362.34152,0.049344923,0.042754577,64.66875927,77.41232138,0.96104544,0.96104544,0.931182294,1.033148383,22.8779,27.125538,5.71175,54.507681,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
1102,08/13/2016,P1,Channel2,DMA4,IRI_North Carolina - Multi Outlet,3117.798919,23.539067,2.356445,0.015427,42.652797,8.333214,1.852608,0,35.530396,155823.4252,2258.450917,205105.627,98.296731,712533.863,145368.385,237488.7527,130046.7276,200657.1999,383907.9046,99.892205,95.860155,96.339841,90.250649,98.685805,98.579355,0.046529231,228.5374655,46.62532408,76.17192733,41.71106956,64.35860846,123.1342734,65.78539294,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,931.240127,580680.8623,0,0,0.950199812,0.950199812,98.685805,0,37162.83925,0.043125607,0.01720602,65.41116288,78.31990868,0.956751593,0.956751593,0.93706138,0.98617298,23.539067,2.356445,0.015427,42.652797,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
