id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
1249,06/11/2016,P2,Channel3,DMA5,IRI_South Carolina - Multi Outlet,1795.904755,66.883559,6.112006,3.653665,42.055068,35.975981,6.112006,0.746097,35.177656,84400.29521,1278.946102,115448.2428,97.590982,356491.3414,70545.88179,91398.26254,40863.84648,149998.4415,253348.9425,98.353153,96.134552,95.447803,83.538194,96.852509,97.99891,0.025880351,198.5023651,39.28152737,50.89260011,22.75390516,83.52249254,141.0703668,64.2841679,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.822756,585177.8086,0,0,0.888088668,0.888088668,96.852509,0,20751.57773,0.024380724,0.029048027,64.38604173,70.36091762,0.966129518,0.966129518,0.910571984,1.025316522,66.883559,6.112006,3.653665,42.055068,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1250,06/18/2016,P2,Channel3,DMA5,IRI_South Carolina - Multi Outlet,1831.221966,58.242981,12.572479,14.232513,53.768847,30.790428,13.416973,11.4463,43.860391,83497.52442,1274.362042,115928.4961,97.558148,363209.8966,70173.55674,89917.65622,40416.68158,152675.9497,254475.0384,98.45628,96.46425,95.267103,84.427278,96.899651,98.061403,0.033796869,198.3429116,38.32061762,49.10254349,22.07088072,83.3738086,138.9646057,63.30663254,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.241612,593163.2594,0,0,0.916762039,0.916762039,96.899651,0,20587.76444,0.033744654,0.025638633,63.83507303,69.99264272,0.977196054,0.977196054,0.917672725,1.000993372,58.242981,12.572479,14.232513,53.768847,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1251,06/25/2016,P2,Channel3,DMA5,IRI_South Carolina - Multi Outlet,1813.85966,66.059582,12.319882,9.614238,54.103537,32.553179,11.416549,3.868088,35.931126,85415.02235,1301.130699,115379.5263,97.805692,369904.4345,73070.38474,94916.80951,41643.56041,156975.2417,248038.3392,98.452288,96.302071,95.638653,84.14032,97.045077,98.130391,0.03102687,203.932224,40.28447534,52.32864019,22.95853496,86.54210971,136.7461577,63.60995222,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,461.89886,583613.6166,0,0,0.90470507,0.90470507,97.045077,0,20614.66651,0.032071309,0.018030523,63.68684738,70.04783533,0.965064973,0.965064973,0.900410342,0.995252897,66.059582,12.319882,9.614238,54.103537,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1252,07/02/2016,P2,Channel3,DMA5,IRI_South Carolina - Multi Outlet,1749.847425,80.913112,9.172951,7.017502,58.781257,44.010505,0,0,35.441114,89046.82991,1342.259341,114347.8643,97.890308,411639.1968,79873.96314,114497.3962,48110.84851,154013.0792,279403.3538,98.414279,96.572896,95.78794,86.738212,96.912668,98.295996,0.01497819,235.242908,45.64624435,65.43278835,27.49431055,88.01514749,159.6729805,65.3473341,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,446.66776,633502.3011,0,0,0.966747396,0.966747396,96.912668,0,21181.43068,0.01210881,0.017948451,64.84096017,69.86308864,1.035756693,1.035756693,0.96655941,0.999805548,80.913112,9.172951,7.017502,58.781257,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
1253,07/09/2016,P2,Channel3,DMA5,IRI_South Carolina - Multi Outlet,1642.23265,63.356979,5.589329,12.057455,51.50526,28.997588,3.573528,9.180537,39.782349,82293.60593,1237.004255,106027.7231,97.386187,357932.7019,73795.27745,103325.1658,42771.19439,144160.494,263323.4888,98.180824,96.353824,95.367031,86.462534,96.965775,97.993664,0.029512706,217.9549298,44.93594586,62.91749576,26.04454027,87.78323461,160.344814,64.5631562,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,425.325785,587874.099,0,0,0.881263107,0.881263107,96.965775,0,20395.87695,0.018588381,0.050115872,65.36673337,69.72944023,0.973118061,0.973118061,0.917675904,1.041318871,63.356979,5.589329,12.057455,51.50526,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1254,07/16/2016,P2,Channel3,DMA5,IRI_South Carolina - Multi Outlet,1754.112184,67.104412,14.694548,3.651436,68.447302,33.015286,0,0,58.858799,81152.44632,1227.754864,111477.9336,97.698081,353204.732,73162.97848,102403.9575,44015.05902,141347.4041,255807.7127,98.210345,96.310581,95.367016,86.295151,97.037649,98.130194,0.03851704,201.3581202,41.7094067,58.37936617,25.09249945,80.58059535,145.8331542,63.55233982,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,467.824405,576401.7823,0,0,0.90422448,0.90422448,97.037649,0,20735.6249,0.014296731,0.075286592,64.72117266,68.94052786,0.941180273,0.941180273,0.953265426,1.054235366,67.104412,14.694548,3.651436,68.447302,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1255,07/23/2016,P2,Channel3,DMA5,IRI_South Carolina - Multi Outlet,1820.062798,69.275296,17.182886,0.973132,56.66703,35.585035,0,0,47.075138,88087.43881,1332.594965,116597.9715,97.63707,362917.5547,76416.7487,106801.3427,43702.74623,146770.5237,266754.5972,98.222399,96.246247,95.381591,87.538784,97.01422,98.208194,0.030854893,199.3983697,41.98577587,58.68003171,24.01166942,80.64036244,146.5634029,64.06260906,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.782526,585918.1961,0,0,0.935256958,0.935256958,97.01422,0,20869.24635,0.013029243,0.059117621,64.59471303,69.22147755,0.954502434,0.954502434,0.950402006,1.016193462,69.275296,17.182886,0.973132,56.66703,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1256,07/30/2016,P2,Channel3,DMA5,IRI_South Carolina - Multi Outlet,1876.705448,62.280215,26.227915,21.518851,55.280411,32.42497,17.442086,11.759018,39.267021,86309.741,1322.509652,118480.063,97.710723,368979.9955,71634.3012,103878.1572,43736.10001,142934.1828,263261.1174,98.212818,96.104146,95.196354,86.627617,96.841975,98.142138,0.032639837,196.6104995,38.17024205,55.3513378,23.30472268,76.16228905,140.278336,63.13194387,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.589747,577536.8695,0,0,0.928990815,0.928990815,96.841975,0,21095.55474,0.025186173,0.045305301,63.72331585,69.06313556,0.946638132,0.946638132,0.940651255,1.012551728,62.280215,26.227915,21.518851,55.280411,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1257,08/06/2016,P2,Channel3,DMA5,IRI_South Carolina - Multi Outlet,1843.743408,52.571965,12.528009,11.506233,52.527689,28.190562,10.389507,5.05745,35.184465,84939.95418,1284.910689,118286.5939,97.417114,379868.4339,73462.64916,123035.142,41772.7376,135114.1702,278726.1202,98.061112,96.278508,95.332678,87.300579,96.946526,98.086972,0.029499049,206.0310737,39.84429115,66.73116306,22.65648106,73.28252381,151.1740294,64.15567014,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.504488,592186.921,0,0,0.886722787,0.886722787,96.946526,0,20870.5036,0.027653841,0.031206608,64.69215963,69.18058308,0.96104544,0.96104544,0.931182294,1.050139127,52.571965,12.528009,11.506233,52.527689,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
1258,08/13/2016,P2,Channel3,DMA5,IRI_South Carolina - Multi Outlet,1862.567431,51.576574,16.24923,14.029654,39.837228,25.166234,17.545061,12.875025,24.755926,86893.75995,1302.189099,120927.8153,97.456054,379666.9416,71425.2839,107374.8249,45397.80259,136413.9149,272734.6625,97.86256,96.408682,95.054115,87.603425,96.914949,98.163876,0.027029511,203.8406424,38.34775735,57.64882555,24.37377667,73.2397188,146.4294167,64.92533547,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,470.884488,580680.8623,0,0,0.896919359,0.896919359,96.914949,0,21159.53489,0.01676315,0.058467425,65.12934275,70.79221183,0.956751593,0.956751593,0.93706138,1.04475544,51.576574,16.24923,14.029654,39.837228,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
