id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
1405,06/11/2016,P2,Channel3,DMA5,IRI_Tennessee - Multi Outlet,1.106693,0,0,0,0,0,0,0,0,84.246755,1.106693,84.246755,68.523681,325.634621,0,0,133.374098,54.372019,0,68.523681,0,0,68.523681,68.523681,0,0,294.2411518,0,0,120.5158968,49.13017395,0,76.12477504,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585177.8086,0,0,0.630850797,0.630850797,68.523681,0,10.39950453,0,0,76.12477504,0,0.966129518,0.966129518,0.910571984,1.443403082,0,0,0,0,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1406,06/18/2016,P2,Channel3,DMA5,IRI_Tennessee - Multi Outlet,0,0,0,0,0,0,0,0,0,0,0,0,0,252.124514,41.243413,0,0,0,45.241159,72.519961,72.519961,0,0,0,72.519961,0,0,0,0,0,0,0,0,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593163.2594,0,0,0.625793334,0.625793334,0,0,11.6479753,0,0,0,0,0.977196054,0.977196054,0.917672725,1.46641499,0,0,0,0,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1407,06/25/2016,P2,Channel3,DMA5,IRI_Tennessee - Multi Outlet,0,0,0,0,0,0,0,0,0,0,0,0,0,81.448514,0,0,156.333312,13.98,101.659063,68.725914,0,0,70.810026,2.084112,68.725914,0,0,0,0,0,0,0,0,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,583613.6166,0,0,0.614210284,0.614210284,2.084112,0,5.938402248,0,0,0,0,0.965064973,0.965064973,0.900410342,1.465964288,0,0,0,0,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1408,07/02/2016,P2,Channel3,DMA5,IRI_Tennessee - Multi Outlet,99.644359,3.76775,0,0,0,0,0,0,0,7917.115405,97.879006,8031.523106,86.825212,43916.31449,7984.431482,8862.660913,3326.833515,13532.79574,7123.561049,85.591682,73.92316,89.207699,70.829277,85.362953,89.207699,0.003521873,440.7305624,80.12928722,88.94292642,33.38707319,135.8109565,71.48985756,80.60188421,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,36.129893,633502.3011,0,0,0.677975628,0.677975628,85.362953,0,3.668787911,0.002907142,0,76.01527932,89.48238813,1.035756693,1.035756693,0.96655941,1.425655097,3.76775,0,0,0,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
1409,07/09/2016,P2,Channel3,DMA5,IRI_Tennessee - Multi Outlet,718.31876,5.94307,9.868218,0,0,10.03611,5.492194,0,0,59135.84762,685.70427,61477.32093,99.166561,259160.7072,74696.84733,89868.84373,85291.42764,111429.0221,75960.051,98.60385,95.289236,99.94112,95.289236,98.882421,99.94112,0.007606863,360.7878864,103.9884401,125.1099773,118.737575,155.1247556,105.7469959,85.58501372,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,278.736046,587874.099,0,0,0.865741539,0.865741539,98.882421,0,1927.476864,0.007088584,0,80.2114251,94.00294514,0.973118061,0.973118061,0.917675904,1.059988302,5.94307,9.868218,0,0,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1410,07/16/2016,P2,Channel3,DMA5,IRI_Tennessee - Multi Outlet,733.478718,27.465496,14.252487,0,21.626898,2.627389,0,0,15.998664,59079.67581,683.222536,62679.99535,99.196565,247743.0625,71847.70069,89821.5098,105252.1891,110459.6901,77496.49672,98.603557,95.719851,99.967012,95.719851,99.313957,99.967012,0.01175297,337.7644865,97.95471762,122.4595992,143.4972638,150.596994,105.6560945,85.45577918,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,272.46479,576401.7823,0,0,0.865934198,0.865934198,99.313957,0,9428.958402,0.005332708,0.016084192,80.46087414,93.79987182,0.941180273,0.941180273,0.953265426,1.100852038,27.465496,14.252487,0,21.626898,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1411,07/23/2016,P2,Channel3,DMA5,IRI_Tennessee - Multi Outlet,613.7036,8.155281,0,0,12.344058,3.692546,0,0,7.288843,52783.32493,604.904353,53448.55818,99.319907,240566.8818,61885.60907,86758.72439,106773.1575,98955.4694,73078.6881,98.796331,95.875659,99.965136,95.875659,99.442566,99.965136,0.00191555,391.991968,100.8395732,141.3690981,173.981638,161.2430976,119.078148,87.09181143,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.948199,585918.1961,0,0,0.832712643,0.832712643,99.442566,0,9631.542537,0.001626834,0.000629964,80.37161161,97.38390695,0.954502434,0.954502434,0.950402006,1.141332504,8.155281,0,0,12.344058,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1412,07/30/2016,P2,Channel3,DMA5,IRI_Tennessee - Multi Outlet,673.836545,24.320475,22.086996,1.114759,22.441275,8.6554,0,0,19.323188,53346.94048,615.956356,57515.82072,99.270811,242318.7525,62577.07565,90128.64373,108905.0428,93422.03437,70476.73893,98.742081,95.990094,99.954742,95.990094,99.42519,99.954742,0.014462431,359.6105828,92.86684755,133.7544609,161.6193774,138.6419824,104.5902593,85.35574568,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.227975,577536.8695,0,0,0.849574008,0.849574008,99.42519,0,9054.702703,0.015729348,0.002323017,80.07821341,98.14135842,0.946638132,0.946638132,0.940651255,1.10720343,24.320475,22.086996,1.114759,22.441275,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1413,08/06/2016,P2,Channel3,DMA5,IRI_Tennessee - Multi Outlet,649.597043,21.639187,7.35124,0.715161,9.48775,8.638589,0,0,6.00848,53538.50221,624.934311,55420.76469,99.257395,231559.3582,64439.62074,97117.71157,105512.4615,86626.1629,72758.20438,98.759593,95.855278,99.962629,95.855278,99.962629,99.962629,0.004143811,356.4661519,99.19937511,149.5045469,162.4275582,133.3536903,112.0051348,85.31560494,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.139938,592186.921,0,0,0.860700124,0.860700124,99.962629,0,9068.684432,0.002401941,0.0069718,79.99064744,94.87516872,0.96104544,0.96104544,0.931182294,1.081889346,21.639187,7.35124,0.715161,9.48775,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
1414,08/13/2016,P2,Channel3,DMA5,IRI_Tennessee - Multi Outlet,615.386644,32.006318,0.517816,0,14.337581,8.028944,0,0,5.747643,50750.66101,593.825245,52401.5548,99.089671,226007.2091,67367.17494,95135.43875,100364.4142,90134.03318,68295.44348,98.585318,95.80284,99.970846,95.80284,99.970846,99.970846,0.003647396,367.2605039,109.4712984,154.5945783,163.0916354,146.467321,110.9797298,85.1522458,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,229.818508,580680.8623,0,0,0.854144215,0.854144215,99.970846,0,8974.887942,0.002268642,0.006149708,79.89265714,94.65081631,0.956751593,0.956751593,0.93706138,1.097076305,32.006318,0.517816,0,14.337581,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
