id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
2029,06/11/2016,P2,Channel3,DMA7,IRI_Wisconsin - Multi Outlet,838.154592,55.56207,0.446168,0,55.748836,42.267623,0.149206,0,46.622715,42910.92094,577.951821,58064.16335,99.330756,203361.9095,37354.44322,73386.90118,61807.51203,125117.2104,50979.69253,100,97.114034,96.634389,84.1058,99.738469,98.948672,0.06694371,242.6305498,44.5674862,87.55771533,73.74237714,149.2770088,60.82373468,69.27619785,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.012224,585177.8086,0,0,0.920361706,0.920361706,99.738469,0,9257.05815,0.077915063,0.050887444,70.20972325,80.40188633,0.966129518,0.966129518,0.910571984,0.989363179,55.56207,0.446168,0,55.748836,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
2030,06/18/2016,P2,Channel3,DMA7,IRI_Wisconsin - Multi Outlet,935.079763,62.541606,0,0,46.518673,45.222016,0,0,44.893509,47749.41492,648.634179,64572.83185,99.300608,200525.9811,40286.55642,74049.9673,53833.36112,142248.8912,55226.09263,100,97.294796,96.811586,86.81566,99.72745,99.204229,0.061934962,214.4479958,43.08355074,79.19107035,57.57087603,152.1248741,59.06030139,69.05596121,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.20173,593163.2594,0,0,0.958505215,0.958505215,99.72745,0,9200.134515,0.065952797,0.052393353,70.23502462,79.40958558,0.977196054,0.977196054,0.917672725,0.957399825,62.541606,0,0,46.518673,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
2031,06/25/2016,P2,Channel3,DMA7,IRI_Wisconsin - Multi Outlet,906.885354,50.126612,0,0,55.762425,33.952159,0,0,50.470872,44670.33623,607.762978,61813.08376,99.395205,193033.2853,38078.6621,84428.8171,58338.9149,127409.9865,52363.1637,100,97.173815,96.836634,86.037202,99.751687,98.988811,0.072651354,212.8530187,41.98839679,93.09756376,64.32887533,140.4918338,57.73956261,68.15975521,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,319.652707,583613.6166,0,0,0.944201679,0.944201679,99.751687,0,8797.592664,0.075529274,0.074073654,69.97582933,79.56302691,0.965064973,0.965064973,0.900410342,0.953620781,50.126612,0,0,55.762425,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
2032,07/02/2016,P2,Channel3,DMA7,IRI_Wisconsin - Multi Outlet,919.32522,38.777413,2.530118,0,58.094281,20.805054,2.000097,0,50.523867,46385.85455,625.147637,63282.80914,98.992598,214964.1598,38394.6826,88277.82879,54827.17163,138056.1403,52934.45599,100,97.430265,95.517096,85.16337,99.755324,94.805002,0.072287075,233.8281983,41.76398273,96.02459162,59.63849403,150.1711661,57.57968438,68.83615045,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,346.651138,633502.3011,0,0,1.001687136,1.001687136,99.755324,0,9153.038387,0.078046147,0.059278232,70.14625618,80.98581797,1.035756693,1.035756693,0.96655941,0.964931439,38.777413,2.530118,0,58.094281,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
2033,07/09/2016,P2,Channel3,DMA7,IRI_Wisconsin - Multi Outlet,856.932802,37.749264,0,0,55.74239,20.542363,0,0,52.396949,44142.27528,595.789149,59781.5465,99.229629,190507.3851,35423.10268,71837.94977,72754.77179,127762.476,54016.80435,100,96.939656,96.290213,90.217192,99.719397,97.602121,0.058417772,222.3130969,41.33708336,83.83148548,84.90137336,149.0927593,63.0350527,69.76223379,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,298.734214,587874.099,0,0,0.969827698,0.969827698,99.719397,0,9349.842378,0.061240856,0.057463228,70.62033819,80.10571882,0.973118061,0.973118061,0.917675904,0.946225712,37.749264,0,0,55.74239,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
2034,07/16/2016,P2,Channel3,DMA7,IRI_Wisconsin - Multi Outlet,828.105289,40.566849,0.523663,0.034106,46.151945,27.862112,0.33202,0,43.331719,49154.65404,649.152479,60963.18038,99.106317,174806.7789,38669.63321,72543.60283,62927.64799,121393.683,58412.74187,100,96.356955,95.106544,88.743108,99.716292,98.374786,0.027780935,211.0924556,46.69651761,87.60190739,75.98991195,146.5920875,70.53782007,73.61766818,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,322.394922,576401.7823,0,0,0.954925271,0.954925271,99.716292,0,8744.833595,0.011325828,0.05426488,71.10812545,82.02705336,0.941180273,0.941180273,0.953265426,0.998261807,40.566849,0.523663,0.034106,46.151945,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
2035,07/23/2016,P2,Channel3,DMA7,IRI_Wisconsin - Multi Outlet,814.020905,44.904174,0.446517,0,46.93079,25.213148,0.133374,0,44.510661,47882.44317,643.97196,59506.71863,99.145526,177543.9319,38841.52032,82432.93341,60991.78196,120638.6365,63999.00104,99.993696,96.835806,96.937006,89.987467,99.714442,99.071472,0.016847019,218.1073371,47.71563002,101.2663593,74.92655484,148.2009071,78.6208323,73.10219957,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.160581,585918.1961,0,0,0.997172263,0.997172263,99.714442,0,8957.848508,0.00148877,0.040179454,70.78913755,78.87802821,0.954502434,0.954502434,0.950402006,0.953097114,44.904174,0.446517,0,46.93079,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
2036,07/30/2016,P2,Channel3,DMA7,IRI_Wisconsin - Multi Outlet,793.664828,34.726935,0,0,50.55147,25.757164,0,0,35.743013,47453.91181,650.168558,57531.56944,99.182574,177118.949,37555.8163,83236.82093,66642.66289,129030.8643,59682.03219,100,96.565656,96.673847,90.14165,99.741145,97.329675,0.006831283,223.1659295,47.3194918,104.8765399,83.96827045,162.5760142,75.19803085,72.4884957,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.951463,577536.8695,0,0,0.952494488,0.952494488,99.741145,0,8905.945236,-0.003419944,0.029078042,70.36002974,77.00030744,0.946638132,0.946638132,0.940651255,0.987566087,34.726935,0,0,50.55147,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
2037,08/06/2016,P2,Channel3,DMA7,IRI_Wisconsin - Multi Outlet,807.139504,26.35731,0,0,26.992483,14.56097,0,0,22.34466,52877.90159,710.819508,59953.39832,99.171838,178948.0723,40523.01884,87156.15055,62880.12023,129725.563,58019.02452,100,97.521668,96.702202,90.39254,99.730031,99.232896,0.001494808,221.7064973,50.20571863,107.98152,77.90489736,160.7226041,71.88227589,74.27885515,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.366204,592186.921,0,0,1.01106771,1.01106771,99.730031,0,8982.996325,0.000835624,0.012514629,71.00448102,80.52411921,0.96104544,0.96104544,0.931182294,0.920989054,26.35731,0,0,26.992483,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
2038,08/13/2016,P2,Channel3,DMA7,IRI_Wisconsin - Multi Outlet,869.272095,24.030447,39.057788,10.192188,14.289197,16.088636,36.772252,4.312688,10.665989,48008.00991,639.504965,62821.83052,99.028573,175879.9177,35585.01274,79659.31228,53146.77633,125316.8694,47981.51906,100,96.970411,96.560327,88.798122,99.692251,98.467076,0.037313092,202.3301089,40.93656397,91.63909978,61.13940229,144.1629958,55.19735342,72.26946644,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,311.219072,580680.8623,0,0,0.988436448,0.988436448,99.692251,0,9184.902827,0.00174832,0.086277512,72.48469405,78.75022924,0.956751593,0.956751593,0.93706138,0.948023904,24.030447,39.057788,10.192188,14.289197,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
