Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_4|5,LTV_30B_18__PVAL_3|4,LTV_30B_19__PVAL_4|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_5|5,IRI_pctTD__PVAL_4|3#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,Predicted,IRI_EVO
06/11/2016,17.294195571564757,358.22855437975306,0.0,0.0,0.0,35.529108960867944,0.0,0.0,-397.8529302695115,-454.525976040111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.96381355543,642.4081856128917,1305.8642680699809,28.815292569773128,1140.3465852192082,0.0,745.6405388756096,0.0,4584.868098210139,-96.06341811179749,1136.7144065887715,9378.23072319257,8448.907428
06/18/2016,23.777693178512727,525.304421993297,0.0,0.0,0.0,49.38869983022008,0.0,0.0,-397.4313077193243,-451.44259564317304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.04690775963115,504.0426509279679,1293.0464258155173,35.19520632301583,1126.6109656706833,0.0,746.0090267229705,62.48423590568881,4573.405588941768,-96.0962535476096,1136.7144065887715,9633.056072747937,8813.341331
06/25/2016,27.680047738244816,603.2277078652126,0.0,0.0,0.0,54.79520307498808,0.0,335.6478827443263,-395.37428867205654,-450.55914055548976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.33423874456753,189.2687819050475,1284.7330300222827,30.126259844122256,1108.0581707908984,0.0,745.9259917553898,0.0,4579.392294741721,-96.07947470855648,1136.7144065887715,9522.89111187947,8354.165728
07/02/2016,31.479504063208868,629.1849307409412,0.0,0.0,0.0,54.88663599219216,0.0,520.6717972678038,-394.0240217998305,-446.0640807055462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.48809758235194,129.4803389842132,1217.4346935425756,34.5206513610271,1094.9722541772232,0.0,746.2134493676359,6.097633128414049,4843.709972035839,-96.12826135369777,1136.7144065887715,9829.638000973124,8791.75548
07/09/2016,36.8709778892926,615.2535792734482,0.0,0.0,0.0,48.56252766518849,0.0,636.9089103352982,-391.5739440756925,-443.1053443525645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.1348426878466,150.46246907474065,1243.0194152173985,29.095095618227855,902.9645294198884,31.964337968852508,745.6117443100366,343.30496009972694,4581.636320225379,-96.04361494356617,1136.7144065887715,9976.781213002272,8658.998938
07/16/2016,40.349624165375644,607.7755175477254,0.0,0.0,0.0,44.64469710175412,0.0,732.2886800391074,-389.604389836887,-442.8235783820708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9295890532572,880.2684465176446,1263.6561478085223,22.82895686061581,1001.6143846409822,279.9753278360516,746.0136593818906,872.205760938454,5236.689007207304,-96.11009797519989,1136.7144065887715,12036.4161394933,10954.93255
07/23/2016,42.66981556117406,603.7614551806134,0.0,0.0,0.0,42.21757296051095,0.0,769.9654590684155,-387.50910550604425,-442.76357615822843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.01430370104825,91.90502024326139,1245.7465940968616,28.35994645894954,676.4236151253672,0.0,745.9430132104494,13.329032267661281,5160.808020776307,-96.10220358653625,1136.7144065887715,9715.48336998858,8780.010013
07/30/2016,44.24502561611018,601.6067834955873,0.0,0.0,0.0,40.71395153643696,0.0,922.1266303174684,-385.38958798923494,-441.3246841185453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.6664919096721,113.95254266073962,1271.8287838165313,24.548860467645916,955.2732377420888,330.73499781642516,745.8026894461743,1065.9771798967572,4916.42320813874,-96.07955592455743,1136.7144065887715,11514.820961416812,10640.4262
08/06/2016,38.702604746062725,631.1654522720785,0.0,0.0,0.0,40.39130570342281,0.0,933.5131174985422,-383.43625630813415,-440.33205069436355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.715158169628154,114.74735915862352,1253.828213264461,34.49182079093487,405.0489031787339,0.0,745.7051708496521,0.0,4639.965215690268,-96.06814024213837,1136.7144065887715,9109.152280666543,8559.415741
08/13/2016,33.2107708206939,649.9022799207333,0.0,0.0,0.0,40.29626088523469,0.0,975.5790428861402,-382.8706593441689,-438.78030755411544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.18924367611217,108.67784317914003,1343.2683473533882,29.047992891728118,411.91451441988204,0.0,745.6894333243741,0.34367673408988214,5029.621107569152,-96.05989971861354,1136.7144065887715,9684.744053632543,8804.109932
08/20/2016,28.975583899009777,658.7391164972153,0.0,0.0,0.0,40.23870964937408,0.0,962.9805132121439,-381.905355895162,-437.5555742273783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.22262819942124,85.18685988099827,1224.516497063327,29.108377115971376,463.8424105989948,2.395530277857641,745.9328393808923,6.060605952351751,4816.717518673307,-96.0829640960258,1136.7144065887715,9383.08770277107,8573.735253
