Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_4|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_5|3,SUP_VID__PVAL_5|5,IRI_pctTD__PVAL_4|3#LAG_2,IRI_BAS_PRC_1500ML__RA_5,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,Predicted,IRI_EVO
06/11/2016,3.044128218715329,45.18413445716003,0.0,0.0,0.0,7.053269060034368,0.0,0.0,-69.11204304417699,-77.98293527368114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.789180956544605,27.582268720679284,221.8336220232954,4.610056458630333,107.02251982581548,4.994356786906812,351.91897836937494,20.664157787349424,925.727466272868,-9.116562602690205,-27.371752367830446,1585.8408456489951,1795.904755
06/18/2016,4.185354934905279,66.25777131413223,0.0,0.0,0.0,7.399029768933487,0.0,0.0,-69.3474714674905,-77.90768355980441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.91176655838149,24.344906773026242,220.08246382563613,4.541242023823125,136.8319626559334,19.45505345900334,351.80057698126535,42.50645202804727,955.6160653016163,-9.122376150480992,-27.371752367830446,1718.1833620790976,1831.221966
06/25/2016,4.8722482677322105,76.08640217879497,0.0,0.0,0.0,7.4159794217661155,0.0,74.56919700626634,-69.6023369166763,-77.83281135418451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.49454885267697,17.120701397429784,220.37004598954056,4.468745079478784,137.6836879975855,13.142128467234237,352.69323560397976,41.6524436608089,943.0480992121177,-9.128793909829891,-27.371752367830446,1774.6817685868905,1813.85966
07/02/2016,5.541029429986237,79.36044226915601,0.0,0.0,0.0,7.340013351393121,0.0,109.68143114485054,-69.67475157085477,-77.5169403641286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.72805283266519,17.042772643090636,226.4287346492643,5.217973637697951,149.58763692092603,9.592534822112079,352.9983660131984,31.01294515084322,1007.719894825235,-9.144199676586057,-27.371752367830446,1842.5441837110188,1749.847425
07/09/2016,6.490037873109887,77.60325108441907,0.0,0.0,0.0,6.802096736954155,0.0,135.18616653827002,-69.83889360580334,-77.34544608573025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.960331586147355,47.58702719291564,218.03119343639145,5.239928570091303,131.07154432573458,16.481870180236413,351.18047522391885,18.8970325587717,918.6126267549926,-9.116074582084531,-27.371752367830446,1787.4714154205044,1642.23265
07/16/2016,7.102349977950695,76.6600271499702,0.0,0.0,0.0,6.634362669031525,0.0,157.5414931694127,-69.84677367241582,-77.12646528490404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.196122061073666,71.48763466725991,221.66308684247844,4.765700193827974,174.1859681529603,4.991309867915056,352.3051838352077,49.680981740819604,942.5471409429214,-9.128775583474702,-27.371752367830446,1915.2875943622041,1754.112184
07/23/2016,7.510750592569824,76.15372487032909,0.0,0.0,0.0,6.582059558385947,0.0,160.60950014769853,-69.81462104080288,-76.97468743393237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.607712491109744,56.13454960515409,223.09149535286622,4.789564083971636,144.20731269879485,1.3302173047491217,352.085174482404,58.093834912144615,974.8948332995454,-9.13603170380308,-27.371752367830446,1908.7936368533544,1820.062798
07/30/2016,7.788019422958175,75.88195151799032,0.0,0.0,0.0,6.565750307565461,0.0,164.20622652215405,-69.7633259742335,-77.2110301120567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.43403376652925,43.01919817182064,225.51072392917746,4.584173583383041,140.6786188581773,29.415072136686437,352.3507716511449,88.67428696784472,968.3631230081496,-9.129886700156781,-27.371752367830446,1974.9959546893042,1876.705448
08/06/2016,6.81244124699207,79.61024968976531,0.0,0.0,0.0,6.633462959904687,0.0,167.24675328234375,-69.88227274749747,-77.64668608791118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.473395531523735,29.631926945869903,223.10493531029582,4.940235333765659,133.6734406756106,15.728380372935431,351.29199985479124,42.35610284697588,924.3036978200706,-9.124754762540945,-27.371752367830446,1857.7815559050648,1843.743408
08/13/2016,5.845767396477681,81.97356587276278,0.0,0.0,0.0,6.66432178615311,0.0,165.59629007178484,-69.90398648674879,-77.85855475878756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.232931133768844,55.51715864534766,226.19466943909285,4.78518553190086,101.37851931271476,19.177756491866198,351.4324198478773,54.937225624930974,934.9324168091035,-9.13190892507599,-27.371752367830446,1858.4020254253385,1862.567431
