Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_5|5,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_5|5,MAS_SPD__PVAL_3|5,SUP_VID__PVAL_4|5,IRI_pctTD__PVAL_5|5#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_7,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.87137998,0.0,0.0,0.0,0.49911307,0.0,0.0,58.64573185,66.27706234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04831238,0.0702406,21537.43424,117.9626889,61.156506,2.613221,99.707414,21.075236,0.98934748,99.948942,1.0,5492.971837
06/18/2016,291.41323885,0.91261077,0.0,0.0,0.0,0.59108264,0.0,0.0,58.95836031,67.07408873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03063877,0.06865739,21701.39745,119.5073033,71.120243,2.472196,99.951235,6.194735,0.97991658,99.951811,1.0,5478.633281
06/25/2016,339.23948393,0.91456167,0.0,0.0,0.0,0.60802951,0.0,0.25938302,59.19187311,67.55285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01852243,0.04256799,22505.63573,132.3018659,57.426284,12.38785,99.52374,20.763651,0.92415647,99.948933,1.0,4922.142902
07/02/2016,385.80463494,0.89978198,0.0,0.0,0.0,0.55621362,0.0,0.31996041,59.29583081,67.96640293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01638277,0.03349467,22249.63015,132.383063,57.456603,0.0,99.953448,1.146601,0.97402408,99.956651,1.0,5198.696491
07/09/2016,451.88113942,0.84902801,0.0,0.0,0.0,0.36730427,0.0,0.28564768,59.55972017,68.73965933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01492197,0.04240308,22491.94341,132.0235596,49.772819,1.184156,99.949744,6.585288,0.91092899,99.949467,1.0,4886.082167
07/16/2016,494.5145257,0.84481441,0.0,0.0,0.0,0.31202288,0.0,0.29814192,59.85101897,69.50519374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01526769,0.03563417,21981.85675,132.2217922,51.52808,1.805346,99.925318,8.827165,0.91631947,99.953119,1.0,4878.579103
07/23/2016,522.95018951,0.8444646,0.0,0.0,0.0,0.29584564,0.0,0.26194284,60.08575413,70.24459354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01638487,0.05173957,23269.79011,133.6933289,57.337238,2.923708,99.911129,21.593157,0.92695517,99.951565,1.0,4917.217987
07/30/2016,542.25555528,0.84443555,0.0,0.0,0.0,0.29111162,0.0,0.24900903,60.17986859,70.47593609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04080522,0.03980695,21503.34054,134.86186,67.448903,2.784535,99.869172,22.745767,0.91876203,99.947062,1.0,4761.950188
08/06/2016,474.32908299,0.90017302,0.0,0.0,0.0,0.30349787,0.0,0.22920207,60.22613641,70.47272856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01284164,0.05360786,22146.25064,137.2564324,52.141846,0.836525,99.180008,24.184747,0.93780611,99.949492,1.0,4739.857818
08/13/2016,407.02259117,0.91004562,0.0,0.0,0.0,0.30930982,0.0,0.21280403,60.37856516,70.38830008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01395985,0.03672971,21888.25567,137.2985382,63.275937,0.0,99.157499,0.044417,0.92721738,99.947161,1.0,4755.659359
08/20/2016,355.11723901,0.91053409,0.0,0.0,0.0,0.31097219,0.0,0.22468698,60.46299183,70.23733483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01144746,0.04153233,21779.85309,134.0593827,62.31533,0.246603,99.887034,7.651694,0.95265026,99.948325,1.0,4824.784753
08/27/2016,315.55245059,0.91055826,0.0,0.0,0.0,0.31144766,0.0,0.20350834,60.56649309,70.28100016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01299096,0.04233432,22606.7453,135.8811863,67.193204,0.122409,99.297243,7.457075,0.92603184,99.947149,1.0,4797.434928
09/03/2016,284.65017487,0.90809263,0.0,0.0,0.0,0.36487519,0.0,0.18397713,60.64347067,70.37276527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02307564,0.11596929,22329.34822,128.3835262,50.641654,3.836023,99.608921,45.540833,0.97370157,99.945552,1.0,5345.117604
09/10/2016,260.03633485,0.9045674,0.0,0.0,0.0,0.44223182,0.0,0.18745293,60.72726884,70.13696262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02849659,0.08481322,22493.39402,127.6130078,69.664614,0.076351,99.941322,10.490075,0.94487316,99.945273,1.0,5062.442995
09/17/2016,241.84078497,0.90438155,0.0,0.0,0.0,0.4605657,0.0,0.18450933,60.80547376,70.02683536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03291504,0.11653712,21853.00951,122.372979,76.045123,2.515166,99.754335,13.488199,0.96908026,99.945483,1.0,5280.914259
09/24/2016,228.54178285,0.90437175,0.0,0.0,0.0,0.46491091,0.0,0.19918255,60.68893796,69.72917886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03151664,0.11213592,21365.85936,127.5083841,79.571019,0.017886,99.689843,0.017886,0.95739372,99.944851,1.0,5083.054713
10/01/2016,237.3859751,0.90909174,0.0,0.0,0.0,0.45903617,0.0,0.20420083,60.38190582,69.33304365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03240587,0.09371366,22152.35304,120.3939368,55.467338,2.886115,99.945496,29.728122,0.95559767,99.944292,1.0,5144.125512
10/08/2016,337.8318627,0.93307927,0.0,0.0,0.0,0.41417009,0.0,0.23385301,60.18526622,68.92559834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04065869,0.10591251,22112.88469,118.7609216,70.719911,6.30117,99.755947,22.792684,0.97612436,99.944294,1.0,5253.984219
10/15/2016,397.47391975,0.93396656,0.0,0.0,0.0,0.40253617,0.0,0.27198028,59.97947684,68.42744419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04681196,0.09101451,21824.47874,117.4744558,75.459854,6.514841,99.629507,44.516053,1.00008421,99.949932,1.0,5454.21435
10/22/2016,435.87467134,0.93399938,0.0,0.0,0.0,0.39951946,0.0,0.25391837,59.75445357,67.87617859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03557829,0.06804617,21042.70113,117.4093272,71.459276,0.465223,99.942681,7.817342,0.98565204,99.94858,1.0,5373.979774
10/29/2016,461.46041516,0.93400059,0.0,0.0,0.0,0.39873721,0.0,0.27720206,59.66906343,67.87770686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323551,0.08381451,22218.34335,115.0099915,72.287256,6.818279,99.947293,11.684275,1.00189112,99.947786,1.0,5582.941277
11/05/2016,426.45537803,0.91021444,0.0,0.0,0.0,0.50170289,0.0,0.32379059,59.56785332,67.87761784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05617792,0.05868655,22721.77789,120.5280782,80.352968,1.101839,99.949123,5.977816,1.01154775,99.947414,1.0,5453.108055
11/12/2016,377.60532124,0.89709783,0.0,0.0,0.0,0.55834835,0.0,0.28485576,59.62086619,67.88251746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02942034,0.04340284,22120.2184,123.7556018,71.038827,1.523059,99.944499,7.221341,1.00426204,99.946859,1.0,5203.865913
11/19/2016,340.74306715,0.89635133,0.0,0.0,0.0,0.56963491,0.0,0.30208462,59.67247768,68.26100929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01373252,0.02934703,21738.55007,129.4158873,54.73188,0.297495,99.957079,3.773719,1.11187121,99.957571,1.0,5625.246462
11/26/2016,313.27490774,0.89630884,0.0,0.0,0.0,0.57188375,0.0,0.31389825,59.80539724,68.52360525,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00722279,0.02774022,22007.52949,115.7118524,50.345256,0.87354,99.95213,4.612941,1.17606449,99.953756,1.0,6271.178097
