Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_4|5,LTV_30B_18__PVAL_3|4,LTV_30B_19__PVAL_4|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_5|5,IRI_pctTD__PVAL_4|3#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.40113746,0.0,0.0,0.0,0.49911307,0.0,0.0,64.54943102,70.55072521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04387443,0.07141672,111650.8231,115.8660692,78.321465,0.0,99.308026,0.0,0.76476938,99.356371,1.0,8448.907428
06/18/2016,291.41323885,0.58822581,0.0,0.0,0.0,0.69381266,0.0,0.0,64.4810251,70.07212831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06655417,0.05603458,110554.9032,141.5196532,77.378073,0.0,99.357103,2.246094,0.7628574,99.390332,1.0,8813.341331
06/25/2016,339.23948393,0.67548281,0.0,0.0,0.0,0.76976324,0.0,0.19332031,64.14728517,69.93499996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04896103,0.02104107,109844.1115,121.1374585,76.103827,0.0,99.346044,0.0,0.763856,99.372978,1.0,8354.165728
07/02/2016,385.80463494,0.70454921,0.0,0.0,0.0,0.77104769,0.0,0.29988699,63.92821186,69.23728465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04248571,0.01439437,104090.1332,138.8072729,75.205058,0.0,99.384329,0.219189,0.80794496,99.423437,1.0,8791.75548
07/09/2016,451.88113942,0.68894915,0.0,0.0,0.0,0.68220659,0.0,0.36683511,63.53070034,68.77803478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05370696,0.01672696,106277.6157,116.9911551,62.017553,2.90695,99.304191,12.340636,0.76423031,99.335889,1.0,8658.998938
07/16/2016,494.5145257,0.68057536,0.0,0.0,0.0,0.62716889,0.0,0.4217702,63.21115109,68.73429956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01324723,0.09785972,108042.0473,91.79505948,68.793038,25.461947,99.35772,31.352806,0.87349501,99.404651,1.0,10954.93255
07/23/2016,522.95018951,0.67608049,0.0,0.0,0.0,0.59307264,0.0,0.44347058,62.87120283,68.72498612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01113741,0.01021711,106510.7883,114.035126,46.458234,0.0,99.348311,0.479133,0.86083784,99.396486,1.0,8780.010013
07/30/2016,542.25555528,0.67366773,0.0,0.0,0.0,0.57194976,0.0,0.53110958,62.52732287,68.50164382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03548338,0.01266814,108740.8041,98.71077862,65.610228,30.078211,99.329622,38.318224,0.82007374,99.373062,1.0,10640.4262
08/06/2016,474.32908299,0.70676696,0.0,0.0,0.0,0.56741723,0.0,0.53766776,62.21040564,68.347569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00725335,0.0127565,107201.7632,138.6913454,27.819633,0.0,99.316634,0.0,0.77395974,99.361255,1.0,8559.415741
08/13/2016,407.02259117,0.7277481,0.0,0.0,0.0,0.56608204,0.0,0.56189612,62.11864067,68.10671015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01301652,0.01208175,114848.8555,116.8017554,28.291178,0.0,99.314538,0.012354,0.83895548,99.352732,1.0,8804.109932
08/20/2016,355.11723901,0.73764342,0.0,0.0,0.0,0.56527356,0.0,0.55463985,61.96202554,67.91660919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01288838,0.00947025,104695.6243,117.0445599,31.857698,0.217858,99.346956,0.217858,0.80344254,99.376587,1.0,8573.735253
08/27/2016,315.55245059,0.74231035,0.0,0.0,0.0,0.56478401,0.0,0.52882764,61.8706821,67.58178545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01064877,0.00991169,109576.265,160.9186876,31.391496,0.002521,99.337983,2.686738,0.77987169,99.375154,1.0,8705.601883
09/03/2016,284.65017487,0.7427677,0.0,0.0,0.0,0.59820137,0.0,0.51389753,61.64447664,67.3353058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01014733,0.03089278,111184.0227,119.5759801,38.222862,0.0,99.32948,0.349831,0.87610194,99.368776,1.0,9170.361576
09/10/2016,260.03633485,0.7406434,0.0,0.0,0.0,0.65589552,0.0,0.51211368,61.50622521,67.19059472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01013287,0.04372332,97895.75506,132.7689762,39.240203,0.0,99.253445,0.0,0.88528696,99.317709,1.0,8959.089683
09/17/2016,241.84078497,0.73962549,0.0,0.0,0.0,0.6848429,0.0,0.48615757,61.41098422,67.17414921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02464519,0.04750338,97097.66059,97.20129846,80.117109,31.254077,99.308933,27.591506,0.92853352,99.335079,1.0,10535.3249
09/24/2016,228.54178285,0.73913774,0.0,0.0,0.0,0.69936693,0.0,0.49724506,61.32164559,67.42095894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02174361,0.03868057,110095.2908,107.1839975,75.728912,0.0,99.301825,0.009815,0.82671217,99.334193,1.0,9644.97441
10/01/2016,237.3859751,0.74218755,0.0,0.0,0.0,0.70286168,0.0,0.53301942,61.16871067,67.68830148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03382142,0.10390158,110506.5022,75.47804509,78.731191,31.96543,99.393216,67.315965,1.04923658,99.433187,1.0,15589.47647
10/08/2016,337.8318627,0.762377,0.0,0.0,0.0,0.68097299,0.0,0.54750437,60.9657027,67.90723032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02325231,0.03609458,122019.8613,117.3827851,72.159526,0.474942,99.178699,3.211755,0.8973785,99.208628,1.0,10803.11873
10/15/2016,397.47391975,0.77123109,0.0,0.0,0.0,0.6689573,0.0,0.55068135,60.80626776,68.06275134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288826,0.03238667,113882.3136,139.5628093,78.813191,0.0,99.340361,0.01035,0.85960531,99.385422,1.0,10126.42546
10/22/2016,435.87467134,0.77511405,0.0,0.0,0.0,0.66236135,0.0,0.53119033,60.64364273,68.16463277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308445,0.03355734,108597.9417,108.8732641,78.089121,4.577432,99.359204,10.326933,0.92554585,99.388008,1.0,10568.19856
10/29/2016,461.46041516,0.77681692,0.0,0.0,0.0,0.65874053,0.0,0.54921235,60.4011154,68.07333128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02762787,0.03440925,117725.0135,106.8782332,45.122716,30.407707,99.356728,48.311839,1.06699481,99.41033,1.0,12178.61724
11/05/2016,426.45537803,0.75977272,0.0,0.0,0.0,0.71562957,0.0,0.54451161,60.24192166,68.18103637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01106249,0.0504245,111959.2268,109.5955898,71.285212,0.127605,99.357173,0.127605,0.9747005,99.381081,1.0,11135.0191
11/12/2016,377.60532124,0.74393917,0.0,0.0,0.0,0.76024459,0.0,0.52719891,60.02057787,68.08257898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01249356,0.05278653,110048.7833,110.1749113,62.950784,5.171344,99.349657,13.364751,1.03087768,99.380813,1.0,11394.60373
11/19/2016,340.74306715,0.73620559,0.0,0.0,0.0,0.77906368,0.0,0.50289781,59.8204489,68.01540502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01144836,0.04845056,113188.0516,123.0212932,51.231831,2.312394,99.523259,13.385807,1.15304858,99.554219,1.0,13481.881
11/26/2016,313.27490774,0.73242827,0.0,0.0,0.0,0.78700177,0.0,0.486626,59.72777617,67.89405655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00655395,0.05945093,112015.4688,105.601761,52.72781,2.752932,99.227177,13.689601,1.04622542,99.25146,1.0,11901.58602
12/03/2016,299.8537194,0.75315929,0.0,0.0,0.0,0.80228835,0.0,0.53012042,59.6151085,67.56477237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00386925,0.05298277,110394.4596,130.7241248,50.278688,6.339889,99.309957,10.69417,0.95166378,99.338462,1.0,10883.48502
12/10/2016,299.31919338,0.78860103,0.0,0.0,0.0,0.82277884,0.0,0.54659228,59.62624848,67.09585738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01545453,0.04926969,110416.562,100.1505362,38.203028,33.650485,99.327118,57.296452,1.16060954,99.372679,1.0,12943.99237
