Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_4|4,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_5|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_3|3#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.64136366,0.0,0.0,0.0,0.93705535,0.0,0.0,65.37614933,76.33828668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04764264,0.03930482,28110.60568,122.6113922,66.977355,0.066132,99.210886,0.088927,0.8999434,99.422335,1.0,2243.793605
06/18/2016,291.41323885,0.78087561,0.0,0.0,0.0,0.98299106,0.0,0.0,65.25018326,76.31856404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04328794,0.02823653,28354.64575,129.2037077,60.736494,0.0,99.192517,0.037735,0.92037146,99.39156,1.0,2245.777396
06/25/2016,339.23948393,0.8112228,0.0,0.0,0.0,0.98524289,0.0,0.15609488,65.18939399,76.23425219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03683294,0.02558605,28318.74678,123.2803589,61.118127,0.28817,99.256716,1.254999,0.91196988,99.419813,1.0,2173.301105
07/02/2016,385.80463494,0.80258854,0.0,0.0,0.0,0.97515049,0.0,0.25665544,65.00087568,75.9439165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03529816,0.02477056,28416.15714,130.9166874,66.873493,1.330594,99.192482,0.091635,0.99380948,99.488965,1.0,2334.275755
07/09/2016,451.88113942,0.75620205,0.0,0.0,0.0,0.90368609,0.0,0.3356719,64.69890582,75.8297767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03320672,0.01468484,28452.99556,127.2277764,64.2196,0.0,99.144889,0.025547,0.90867506,99.324175,1.0,2185.159446
07/16/2016,494.5145257,0.74283661,0.0,0.0,0.0,0.88140194,0.0,0.3802112,64.44799077,75.7472587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03233966,0.03929129,27627.79152,132.1523294,71.678416,0.557866,99.230124,27.651326,0.94853556,99.529668,1.0,2308.322139
07/23/2016,522.95018951,0.7389856,0.0,0.0,0.0,0.87445326,0.0,0.37587539,64.15588641,75.63274507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03695786,0.01052913,28523.15698,136.516617,76.935244,0.0,99.202865,1.561402,0.96380789,99.526527,1.0,2301.029333
07/30/2016,542.25555528,0.737876,0.0,0.0,0.0,0.87228651,0.0,0.4003684,63.95237621,75.73747786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04568859,0.02405612,28941.00244,133.1445223,78.143796,27.227021,99.142196,44.815389,0.99147634,99.56325,1.0,2484.008784
08/06/2016,474.32908299,0.78976666,0.0,0.0,0.0,0.88128241,0.0,0.42124801,63.85019141,76.27193819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04338079,0.02283025,28883.98766,135.4678983,79.131355,0.186881,99.160195,1.165012,0.99939449,99.459013,1.0,2427.204024
08/13/2016,407.02259117,0.80893927,0.0,0.0,0.0,0.88538213,0.0,0.44190691,63.97311743,76.76703006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04019262,0.02160443,28845.38307,131.7111477,78.718162,0.0,99.16344,0.221776,1.01722077,99.409099,1.0,2365.857842
