Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_4|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_5|3#LAG_2,IRI_BAS_PRC_1500ML__RA_5,IRI_BAS_PRC_750ML__RA_7,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.40113746,0.0,0.0,0.0,0.49911307,0.0,0.0,61.56837232,66.98522325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01137255,0.04375142,29135.02319,86.6832532,59.899298,7.119159,99.981025,38.583282,0.88474571,99.902579,1.0,2428.269734
06/18/2016,291.41323885,0.58822581,0.0,0.0,0.0,0.69381266,0.0,0.0,61.58923917,67.32829224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01311257,0.04455588,29313.27713,84.02627316,62.50246,8.997202,100.0,36.976672,0.86685926,99.878864,1.0,2501.38354
06/25/2016,339.23948393,0.67548281,0.0,0.0,0.0,0.76976324,0.0,0.23453705,61.54366361,67.25098821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01759107,0.05026691,30045.30526,85.92932602,37.738866,9.996433,100.0,42.543913,0.84627922,99.968994,1.0,2478.896366
07/02/2016,385.80463494,0.70454921,0.0,0.0,0.0,0.77104769,0.0,0.39423526,61.56822703,67.48803235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01525093,0.00916285,30068.49935,91.09598461,39.465628,22.30494,100.0,42.741509,0.86346437,100.0,1.0,2452.617145
07/09/2016,451.88113942,0.68894915,0.0,0.0,0.0,0.68220659,0.0,0.4165824,61.30537371,67.8414657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01660297,0.02799698,30482.0548,87.58011651,42.28947,29.205847,100.0,39.049882,0.85372176,100.0,1.0,2403.778475
07/16/2016,494.5145257,0.68057536,0.0,0.0,0.0,0.62716889,0.0,0.46041246,61.30559249,68.15754476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01198042,0.18273855,29337.09458,69.58221701,34.408057,15.010134,100.0,38.435796,0.94665942,100.0,1.0,3022.259348
07/23/2016,522.95018951,0.67608049,0.0,0.0,0.0,0.59307264,0.0,0.46757754,61.72490131,68.23986067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01060929,0.02748015,30724.46435,89.26099362,41.32114,0.0,99.781944,2.785405,0.86105747,100.0,1.0,2369.947395
07/30/2016,542.25555528,0.67366773,0.0,0.0,0.0,0.57194976,0.0,0.5854534,62.19489618,67.95914746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00828659,0.01626751,29030.1752,88.52592473,41.575125,0.486741,100.0,1.669294,0.86227373,100.0,1.0,2383.020763
08/06/2016,474.32908299,0.70676696,0.0,0.0,0.0,0.56741723,0.0,0.65812306,62.59104725,67.76322333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103245,0.06905931,29623.56159,95.85536887,25.496336,9.135031,99.629864,39.235985,0.95390236,100.0,1.0,2310.059109
08/13/2016,407.02259117,0.7277481,0.0,0.0,0.0,0.56608204,0.0,0.69005882,63.25943721,67.98245622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00693734,0.06199948,29102.68213,90.1874974,65.782313,1.044583,99.689014,10.917306,0.95353407,100.0,1.0,2450.253486
08/20/2016,355.11723901,0.73764342,0.0,0.0,0.0,0.56527356,0.0,0.61962957,63.65468697,67.92065816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00547295,0.05475305,29095.24726,93.19312876,69.579051,0.243727,99.582635,0.548156,0.888121,100.0,1.0,2471.580306
08/27/2016,315.55245059,0.74231035,0.0,0.0,0.0,0.56478401,0.0,0.58295269,63.37415427,67.90986508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162168,0.11316644,30099.56054,70.76356496,33.289667,32.050388,99.744312,33.432177,1.03535516,100.0,1.0,3317.655271
09/03/2016,284.65017487,0.7427677,0.0,0.0,0.0,0.59820137,0.0,0.55765453,63.22896891,67.87762901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03655457,0.05517232,29784.73944,82.87541618,74.612428,2.323171,99.967268,4.761113,0.91942129,100.0,1.0,2787.288638
09/10/2016,260.03633485,0.7406434,0.0,0.0,0.0,0.65589552,0.0,0.50384974,63.04965027,68.05696771,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04866438,0.08021535,29806.23447,82.5727837,66.136989,2.270772,100.0,12.284206,0.93344852,100.0,1.0,2795.70257
09/17/2016,241.84078497,0.73962549,0.0,0.0,0.0,0.6848429,0.0,0.58004301,62.73847175,68.29921809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05721332,0.0769273,29065.44413,73.52584501,46.896074,21.437452,99.880051,42.193255,1.03947317,100.0,1.0,2870.84678
09/24/2016,228.54178285,0.73913774,0.0,0.0,0.0,0.69936693,0.0,0.63749541,62.60175702,68.40304321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04751918,0.05219564,28492.97911,81.12498021,80.364645,0.44934,100.0,4.428075,0.92154375,100.0,1.0,2731.563313
10/01/2016,237.3859751,0.74218755,0.0,0.0,0.0,0.70286168,0.0,0.58924412,62.59806855,68.2441778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04905497,0.04871554,29351.62889,84.15944831,70.782556,0.867336,99.990998,10.617875,1.0301559,100.0,1.0,2834.091272
10/08/2016,337.8318627,0.762377,0.0,0.0,0.0,0.68097299,0.0,0.60463405,62.45232316,68.01726871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1080905,0.03733862,29302.78465,73.81854433,54.929114,9.682767,99.96908,31.123821,0.99301778,100.0,1.0,2988.433943
10/15/2016,397.47391975,0.77123109,0.0,0.0,0.0,0.6689573,0.0,0.56846703,62.28511585,67.70275678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09947248,0.04196827,29208.2799,74.44095522,51.858629,15.027712,100.0,39.896751,1.00901828,100.0,1.0,2968.729444
10/22/2016,435.87467134,0.77511405,0.0,0.0,0.0,0.66236135,0.0,0.52097892,62.12902416,67.52175084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05187206,0.03280104,28476.93347,78.69417574,74.252309,0.0,99.979485,0.776494,0.96735337,100.0,1.0,2715.939623
10/29/2016,461.46041516,0.77681692,0.0,0.0,0.0,0.65874053,0.0,0.50254465,62.07944887,67.34229146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05053512,0.02222788,29733.36269,81.72191889,70.482844,0.433624,99.978189,0.503012,1.0246916,100.0,1.0,2742.98895
11/05/2016,426.45537803,0.75977272,0.0,0.0,0.0,0.71562957,0.0,0.56830756,61.89617056,67.00581709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04973987,0.07195269,30328.46501,79.61449998,78.349606,1.662424,100.0,7.147584,0.98037682,100.0,1.0,2859.273491
11/12/2016,377.60532124,0.74393917,0.0,0.0,0.0,0.76024459,0.0,0.56500536,61.49749208,66.73181782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04926656,0.07254545,29465.78456,81.53281627,73.900756,0.389957,99.749431,0.637547,1.01653748,100.0,1.0,2812.898055
11/19/2016,340.74306715,0.73620559,0.0,0.0,0.0,0.77906368,0.0,0.5890003,61.01925304,66.50946708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04678363,0.07989227,28925.67273,79.93580421,78.761986,0.675143,99.878166,4.748757,1.1125477,100.0,1.0,3226.26752
11/26/2016,313.27490774,0.73242827,0.0,0.0,0.0,0.78700177,0.0,0.64668272,60.45915307,66.04459396,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02924696,0.07316278,29170.33956,78.12453831,89.471625,0.715275,100.0,2.135073,1.33651289,100.0,1.0,3679.959099
