Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_5|4,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_3|5,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_4|5#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.87137998,0.0,0.0,0.0,0.49911307,0.0,0.0,64.10879694,69.19654738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01235195,0.02739229,10027.09836,154.8688498,19.009068,0.116766,99.803172,6.219755,0.95268226,99.963927,1.0,982.472809
06/18/2016,291.41323885,0.93935806,0.0,0.0,0.0,0.59108264,0.0,0.0,64.01234184,69.10121665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01642379,0.03809031,10084.69485,130.4739823,36.030135,1.011295,99.742721,23.394617,0.9916138,100.0,1.0,1142.889946
06/25/2016,339.23948393,0.94466117,0.0,0.0,0.0,0.60802951,0.0,0.208094,63.999406,69.21504982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00662239,0.03117672,10051.49703,137.773376,31.817817,7.699552,99.710633,15.680479,0.98387438,100.0,1.0,1017.724682
07/02/2016,385.80463494,0.93550387,0.0,0.0,0.0,0.55621362,0.0,0.27125999,63.90881839,68.99321138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02033865,0.02661886,9759.68775,135.1811516,45.869085,25.650738,99.507034,15.509278,1.02729717,100.0,1.0,1076.585084
07/09/2016,451.88113942,0.90237697,0.0,0.0,0.0,0.36730427,0.0,0.25595683,63.76737361,68.83553219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03017708,0.02244091,9703.584045,137.2301136,38.409045,0.0,99.326712,2.207715,0.99471366,99.854837,1.0,1007.964377
07/16/2016,494.5145257,0.89784266,0.0,0.0,0.0,0.31202288,0.0,0.33347178,63.97853868,68.914193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121908,0.01684659,9834.397017,136.3006906,29.000855,0.163667,99.239564,0.853887,0.96847331,100.0,1.0,1004.798647
07/23/2016,522.95018951,0.89722202,0.0,0.0,0.0,0.29584564,0.0,0.32750138,64.18170821,68.60301526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01415426,0.01865388,9970.499057,140.4116259,18.356382,6.374652,99.29291,12.759904,0.99786973,100.0,1.0,1065.649102
07/30/2016,542.25555528,0.89713706,0.0,0.0,0.0,0.29111162,0.0,0.33534993,64.51818621,68.21188563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02334206,0.02432084,10327.6923,121.3983185,50.032683,9.050606,99.733658,17.636872,0.98384955,100.0,1.0,1091.401116
08/06/2016,474.32908299,0.93398558,0.0,0.0,0.0,0.30349787,0.0,0.3036039,64.75191066,68.04372684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01712134,0.01939617,10055.26525,141.8583619,31.360483,0.0,99.624769,5.844451,0.93683317,100.0,1.0,1003.202843
08/13/2016,407.02259117,0.94169643,0.0,0.0,0.0,0.30930982,0.0,0.3027676,65.00948218,68.07741423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062016,0.02324763,10092.91221,138.4736269,36.553736,0.044938,99.310514,4.012087,0.9337221,100.0,1.0,1025.138737
