Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_5|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_5|5#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.87137998,0.0,0.0,0.0,0.49911307,0.0,0.0,72.18651778,79.41591245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00140432,0.13060233,6202.242747,88.85153341,73.685008,0.0,99.887769,0.0,0.86896768,99.660111,1.0,838.086068
06/18/2016,291.41323885,0.95866556,0.0,0.0,0.0,0.69381266,0.0,0.0,72.18731442,79.25483886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00867201,0.1417485,6343.127803,87.73905818,84.121048,0.0,99.677742,0.0,0.89181772,99.619658,1.0,900.309821
06/25/2016,339.23948393,0.96740891,0.0,0.0,0.0,0.76976324,0.0,0.54567134,72.01505895,79.34544412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00621663,0.14052283,6489.78142,88.92461772,80.220651,0.0,99.482485,0.0,0.87008192,99.834381,1.0,871.322013
07/02/2016,385.80463494,0.96275816,0.0,0.0,0.0,0.77104769,0.0,0.61304785,71.92575578,79.52512276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01188417,0.13633486,6386.978289,93.09383041,77.251575,0.0,99.860272,0.0,1.00578204,99.759996,1.0,1054.959525
07/09/2016,451.88113942,0.94353616,0.0,0.0,0.0,0.68220659,0.0,0.63878332,71.58324964,80.11236446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01519024,0.14466269,6616.312191,86.80417262,78.329957,0.0,99.75296,0.0,1.01040894,99.794271,1.0,963.549199
07/16/2016,494.5145257,0.94015782,0.0,0.0,0.0,0.62716889,0.0,0.63953911,71.37647695,80.31949114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11940229,0.0491152,6070.846616,78.64485041,82.818704,0.0,99.869174,0.0,1.20145083,99.846012,1.0,1071.986965
07/23/2016,522.95018951,0.93956407,0.0,0.0,0.0,0.59307264,0.0,0.62305639,71.12693189,80.59977569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1401344,0.03423997,6217.112319,84.04286614,87.07752,0.0,99.77928,0.748191,1.24369389,99.795821,1.0,1060.152256
07/30/2016,542.25555528,0.93945971,0.0,0.0,0.0,0.57194976,0.0,0.375936,70.8188891,80.2884294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12245654,0.01024146,6189.034822,86.63817053,84.907746,0.012144,99.901065,0.995396,1.28411383,99.824629,1.0,1051.657226
08/06/2016,474.32908299,0.96113964,0.0,0.0,0.0,0.56741723,0.0,0.25349066,69.37221359,79.70260667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12482812,0.00681394,6061.243519,80.70545762,88.862688,0.0,99.891008,0.663569,1.32815216,99.71467,1.0,1128.299538
08/13/2016,407.02259117,0.96618011,0.0,0.0,0.0,0.56608204,0.0,0.21008136,68.01964929,78.74550301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12102602,0.06601725,6145.036992,77.37320835,82.416765,0.0,99.808478,0.679398,1.11393108,99.88593,1.0,1112.008202
