Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_4|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_5|3#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.40113746,0.0,0.0,0.0,0.49911307,0.0,0.0,89.33140208,102.2286108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01075592,0.00654761,7495.521917,201.548576,8.205791,0.0,98.040089,0.0,0.79782644,99.419171,1.0,300.059546
06/18/2016,291.41323885,0.58822581,0.0,0.0,0.0,0.69381266,0.0,0.0,89.77075903,102.19996105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00317519,0.01997632,7844.48819,188.0736986,18.197362,0.0,98.627265,0.0,0.7859578,99.409657,1.0,312.51068
06/25/2016,339.23948393,0.67548281,0.0,0.0,0.0,0.76976324,0.0,0.14412731,89.45884957,102.13607112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013938,0.01161054,7867.596273,189.7096532,18.470743,0.0,98.299797,0.0,0.75141384,99.480231,1.0,293.287298
07/02/2016,385.80463494,0.70454921,0.0,0.0,0.0,0.77104769,0.0,0.35174634,89.32273338,102.07531664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00580615,0.01500556,7652.688989,203.2243694,19.510936,0.0,98.56099,0.0,0.82945315,99.582033,1.0,327.093803
07/09/2016,451.88113942,0.68894915,0.0,0.0,0.0,0.68220659,0.0,0.39293441,89.3695949,102.13784788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612313,0.01596522,7817.33082,186.7819897,24.07044,0.0,97.997833,0.0,0.86647051,99.385601,1.0,327.52378
07/16/2016,494.5145257,0.68057536,0.0,0.0,0.0,0.62716889,0.0,0.39654279,89.20498175,102.11159114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276208,0.01375165,7208.68121,193.2552863,44.708108,0.0,98.401509,1.035508,1.00580619,99.679627,1.0,344.144371
07/23/2016,522.95018951,0.67608049,0.0,0.0,0.0,0.59307264,0.0,0.48113062,88.94343811,101.88483988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03880056,0.01177089,7343.730118,180.8070508,46.416888,0.0,98.383898,0.0,1.00485608,99.583444,1.0,368.293503
07/30/2016,542.25555528,0.67366773,0.0,0.0,0.0,0.57194976,0.0,0.38097165,88.70789016,101.16299967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03859328,0.00646496,7382.24492,182.0698619,45.722183,0.0,98.322301,0.0,0.92062731,99.614675,1.0,364.848896
08/06/2016,474.32908299,0.70676696,0.0,0.0,0.0,0.56741723,0.0,0.31456997,87.96087381,100.22565543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03014383,0.05075848,7056.606058,167.8905139,52.957413,0.0,98.313682,0.0,0.91253489,99.471829,1.0,387.349679
08/13/2016,407.02259117,0.7277481,0.0,0.0,0.0,0.56608204,0.0,0.25976209,87.65693941,99.29355176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262133,0.20970851,7408.70758,140.6441759,55.045516,0.0,97.993196,0.0,0.9383801,99.564547,1.0,407.729659
