Period,TAS_SPD__APL_0.75|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_4|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_5|5#LAG_2,IRI_BAS_PRC_1500ML__RA_5,IRI_BAS_PRC_750ML__RA_7,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.40113746,0.0,0.0,0.0,0.49911307,0.0,0.0,65.80438472,77.28879205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04988154,0.02317655,37386.29022,116.5908734,51.112648,5.073429,98.480589,7.884866,0.88938897,98.364024,1.0,3144.331724
06/18/2016,296.52598292,0.58822581,0.0,0.0,0.0,0.69381266,0.0,0.0,65.89608118,76.95841604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06939916,0.03464009,37936.0434,115.1890328,64.341447,0.540494,98.559548,2.856768,0.93006296,98.218715,1.0,3208.873264
06/25/2016,350.5007647,0.67548281,0.0,0.0,0.0,0.76976324,0.0,0.43434676,65.914572,76.73941006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11112292,0.02134666,37296.7396,99.33247263,53.069774,7.098128,98.543898,23.801794,0.89548342,98.426834,1.0,3376.632774
07/02/2016,402.7363613,0.70454921,0.0,0.0,0.0,0.77104769,0.0,0.41110158,65.63833303,76.56984653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04333265,0.02839995,39288.0753,120.2930397,74.212434,12.760117,98.525782,14.785543,1.02825287,98.494362,1.0,3093.745506
07/09/2016,473.54799604,0.68894915,0.0,0.0,0.0,0.68220659,0.0,0.54787793,65.39395718,76.40901052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01907658,0.0593427,37009.61956,124.5465601,74.809895,0.01145,98.148467,0.445972,0.88314418,98.349139,1.0,2824.124167
07/16/2016,522.30813605,0.68057536,0.0,0.0,0.0,0.62716889,0.0,0.55794773,65.10544909,76.35298671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04509767,0.11414684,37982.48358,106.7328436,79.106731,0.36554,98.341112,1.549405,1.01331331,98.514409,1.0,3576.717237
07/23/2016,556.96696223,0.67608049,0.0,0.0,0.0,0.59307264,0.0,0.56537525,64.80496684,76.45670426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04793683,0.10836091,37973.24129,98.85182754,76.508717,4.367802,98.436562,33.538336,1.01771823,98.571142,1.0,3690.598017
07/30/2016,582.04359718,0.67366773,0.0,0.0,0.0,0.57194976,0.0,0.57247114,64.68949236,76.695754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04638283,0.07160364,38415.46248,103.0261158,68.662603,7.212791,98.314993,28.569392,0.95895879,98.466687,1.0,3446.411025
08/06/2016,523.82987089,0.70676696,0.0,0.0,0.0,0.56741723,0.0,0.57998268,65.11679245,76.97142052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04934492,0.04275458,37362.34152,94.99764839,54.507681,5.71175,98.461925,27.125538,0.90130548,98.5368,1.0,3560.757895
08/13/2016,462.79764252,0.7277481,0.0,0.0,0.0,0.56608204,0.0,0.55534922,65.6250069,77.2225553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04312561,0.01720602,37162.83925,123.1342734,42.652797,0.015427,98.296731,2.356445,0.95019981,98.579355,1.0,3117.798919
08/20/2016,413.24948026,0.73764342,0.0,0.0,0.0,0.56527356,0.0,0.36701845,65.64720759,77.37881161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00823736,0.00950374,38187.24209,132.3104849,46.8774,0.0,98.194513,2.287595,0.82305429,98.483437,1.0,2714.633394
08/27/2016,373.32202463,0.74231035,0.0,0.0,0.0,0.56478401,0.0,0.31643797,66.48700569,77.07240938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085119,0.01599356,37420.30311,128.7470709,57.70682,0.090107,98.385363,0.090107,0.83701894,98.661986,1.0,2842.366692
09/03/2016,340.41016224,0.7427677,0.0,0.0,0.0,0.59820137,0.0,0.29836158,67.22060551,76.66268031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04811954,0.03791163,37823.26105,103.6501735,78.387764,2.178481,98.514081,41.95781,1.06768626,98.565037,1.0,3525.153897
09/10/2016,312.86485781,0.7406434,0.0,0.0,0.0,0.65589552,0.0,0.29090971,67.68643869,76.49474912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00892206,0.13026279,38184.28256,144.5119019,66.698089,1.391306,98.365125,10.720376,0.96068064,98.275878,1.0,2800.000276
09/17/2016,291.0964966,0.73962549,0.0,0.0,0.0,0.6848429,0.0,0.28079804,68.22069197,76.24385467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01636959,0.16498829,34563.77839,101.4352825,91.246754,12.615968,98.571289,31.174976,0.9625264,98.516555,1.0,3493.416147
09/24/2016,274.03085379,0.73913774,0.0,0.0,0.0,0.69936693,0.0,0.34568325,68.48150313,75.91957662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01462518,0.16633341,37161.49332,101.4896884,68.479283,1.682994,98.464376,33.494446,0.93400608,98.412485,1.0,3543.680062
10/01/2016,277.2987613,0.74218755,0.0,0.0,0.0,0.70286168,0.0,0.51061229,68.08469115,75.53633439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01536907,0.0720505,38585.32215,120.0456481,81.07038,1.531576,98.440082,3.734893,0.91015952,98.380322,1.0,2938.72972
10/08/2016,367.5592015,0.762377,0.0,0.0,0.0,0.68097299,0.0,0.54202392,67.54718279,75.3225937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06255363,0.05952362,38600.29752,108.096823,93.448687,0.381986,98.589671,0.795728,0.95322197,98.617421,1.0,3684.8322
