Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_4|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_5|3,SUP_VID__PVAL_5|5,IRI_pctTD__PVAL_4|3#LAG_2,IRI_BAS_PRC_1500ML__RA_5,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.40113746,0.0,0.0,0.0,0.93705535,0.0,0.0,63.96932071,70.13379856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02438072,0.02904803,20751.57773,141.0703668,42.055068,3.653665,97.590982,6.112006,0.88808867,97.99891,1.0,1795.904755
06/18/2016,291.41323885,0.58822581,0.0,0.0,0.0,0.98299106,0.0,0.0,64.18723058,70.06612108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03374465,0.02563863,20587.76444,138.9646057,53.768847,14.232513,97.558148,12.572479,0.91676204,98.061403,1.0,1831.221966
06/25/2016,339.23948393,0.67548281,0.0,0.0,0.0,0.98524289,0.0,0.28424532,64.42313114,69.99878491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03207131,0.01803052,20614.66651,136.7461577,54.103537,9.614238,97.805692,12.319882,0.90470507,98.130391,1.0,1813.85966
07/02/2016,385.80463494,0.70454921,0.0,0.0,0.0,0.97515049,0.0,0.41808729,64.49015732,69.71470696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01210881,0.01794845,21181.43068,159.6729805,58.781257,7.017502,97.890308,9.172951,0.9667474,98.295996,1.0,1749.847425
07/09/2016,451.88113942,0.68894915,0.0,0.0,0.0,0.90368609,0.0,0.51530708,64.64208532,69.56047392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01858838,0.05011587,20395.87695,160.344814,51.50526,12.057455,97.386187,5.589329,0.88126311,97.993664,1.0,1642.23265
07/16/2016,494.5145257,0.68057536,0.0,0.0,0.0,0.88140194,0.0,0.60052185,64.64937902,69.36353397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01429673,0.07528659,20735.6249,145.8331542,68.447302,3.651436,97.698081,14.694548,0.90422448,98.130194,1.0,1754.112184
07/23/2016,522.95018951,0.67608049,0.0,0.0,0.0,0.87445326,0.0,0.61221658,64.61961891,69.22703286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01302924,0.05911762,20869.24635,146.5634029,56.66703,0.973132,97.63707,17.182886,0.93525696,98.208194,1.0,1820.062798
07/30/2016,542.25555528,0.67366773,0.0,0.0,0.0,0.87228651,0.0,0.6259267,64.57214078,69.43958718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02518617,0.0453053,21095.55474,140.278336,55.280411,21.518851,97.710723,26.227915,0.92899082,98.142138,1.0,1876.705448
08/06/2016,474.32908299,0.70676696,0.0,0.0,0.0,0.88128241,0.0,0.63751668,64.68223656,69.83139352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765384,0.03120661,20870.5036,151.1740294,52.527689,11.506233,97.417114,12.528009,0.88672279,98.086972,1.0,1843.743408
08/13/2016,407.02259117,0.7277481,0.0,0.0,0.0,0.88538213,0.0,0.63122539,64.70233455,70.02193719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01676315,0.05846742,21159.53489,146.4294167,39.837228,14.029654,97.456054,16.24923,0.89691936,98.163876,1.0,1862.567431
