Period,TAS_SPD__APL_0.85|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_4|5,LTV_30B_19__PVAL_4|5,MAS_SPD__PVAL_5|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_5|3#LAG_2,IRI_BAS_PRC_1500ML__RA_5,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.40113746,0.0,0.0,0.0,0.93705535,0.0,0.0,25.37492501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.39950453,0.0,0.0,0.0,68.523681,0.0,0.6308508,0.0,1.0,1.106693
06/18/2016,306.5793944,0.58822581,0.0,0.0,0.0,0.98299106,0.0,0.0,38.03501359,22.37059703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6479753,0.0,0.0,0.0,0.0,0.0,0.62579333,72.519961,1.0,0.0
06/25/2016,373.63982072,0.67548281,0.0,0.0,0.0,0.98524289,0.0,0.0,46.47029589,36.69706665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93840225,0.0,0.0,0.0,0.0,0.0,0.61421028,68.725914,1.0,0.0
07/02/2016,439.14022634,0.70454921,0.0,0.0,0.0,0.97515049,0.0,0.0,47.33751571,55.45704102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00290714,0.0,3.66878791,71.48985756,0.0,0.0,86.825212,0.0,0.67797563,89.207699,1.0,99.644359
07/09/2016,522.19617272,0.68894915,0.0,0.0,0.0,0.90368609,0.0,0.0,63.41183803,74.93382241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708858,0.0,1927.476864,105.7469959,0.0,0.0,99.166561,9.868218,0.86574154,99.94112,1.0,718.31876
07/16/2016,586.38536235,0.68057536,0.0,0.0,0.0,0.88140194,0.0,0.03697653,79.42748072,94.56209409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00533271,0.01608419,9428.958402,105.6560945,21.626898,0.0,99.196565,14.252487,0.8659342,99.967012,1.0,733.478718
07/23/2016,637.4611807,0.67608049,0.0,0.0,0.0,0.87445326,0.0,0.08483494,80.22255434,95.64065021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162683,0.00062996,9631.542537,119.078148,12.344058,0.0,99.319907,0.0,0.83271264,99.965136,1.0,613.7036
07/30/2016,678.81746728,0.67366773,0.0,0.0,0.0,0.87228651,0.0,0.29036763,80.15880075,95.77022444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01572935,0.00232302,9054.702703,104.5902593,22.441275,1.114759,99.270811,22.086996,0.84957401,99.954742,1.0,673.836545
08/06/2016,645.19498872,0.70676696,0.0,0.0,0.0,0.88128241,0.0,0.28674425,80.05301137,95.93488366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00240194,0.0069718,9068.684432,112.0051348,9.48775,0.715161,99.257395,7.35124,0.86070012,99.962629,1.0,649.597043
08/13/2016,603.58393891,0.7277481,0.0,0.0,0.0,0.88538213,0.0,0.39099407,79.7260775,95.04261312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00226864,0.00614971,8974.887942,110.9797298,14.337581,0.0,99.089671,0.517816,0.85414422,99.970846,1.0,615.386644
08/20/2016,566.64924278,0.73764342,0.0,0.0,0.0,0.88654889,0.0,0.43983588,79.37282934,93.94867446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00363132,0.00615408,8928.149067,123.0349998,13.173662,0.0,99.216403,0.423053,0.89199187,99.966213,1.0,610.639578
08/27/2016,533.944156,0.74231035,0.0,0.0,0.0,0.88688094,0.0,0.52261951,78.89492636,93.40004144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04152017,0.04286149,8824.815537,109.5952558,60.8918,0.0,99.118038,0.0,0.86448365,99.964994,1.0,664.761446
09/03/2016,504.29293195,0.7427677,0.0,0.0,0.0,0.91811497,0.0,0.59276102,78.49297849,92.90822181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04876438,0.04897756,8757.530308,102.3875864,74.088201,0.0,99.30488,0.366261,0.9099631,99.967193,1.0,717.057137
09/10/2016,477.08727311,0.7406434,0.0,0.0,0.0,0.95090852,0.0,0.57532177,78.01919424,92.4577532,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06621914,0.05093739,8867.649276,98.23997477,81.497126,0.0,99.179457,0.461687,0.86470053,99.950348,1.0,685.433106
