Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_4|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_5|3,SUP_VID__PVAL_5|5,IRI_pctTD__PVAL_5|3#LAG_2,IRI_BAS_PRC_1500ML__RA_5,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.40113746,0.0,0.0,0.0,0.93705535,0.0,0.0,67.97280447,81.45766906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03287373,0.03611265,28840.96541,105.6239007,51.311541,3.90881,98.089714,12.613329,0.93190091,99.207549,1.0,2478.683242
06/18/2016,291.41323885,0.58822581,0.0,0.0,0.0,0.98299106,0.0,0.0,67.82765849,81.57505751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443403,0.03631949,29306.24943,106.0304108,59.984649,6.952896,98.72095,10.155044,0.9344677,99.191219,1.0,2504.435582
06/25/2016,339.23948393,0.67548281,0.0,0.0,0.0,0.98524289,0.0,0.24858089,67.8492934,81.84610466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03168075,0.04970069,29386.31886,100.1321591,61.545856,0.284573,98.001408,5.455449,0.90931899,99.165938,1.0,2534.617157
07/02/2016,385.80463494,0.70454921,0.0,0.0,0.0,0.97515049,0.0,0.38990935,67.58435259,82.08731564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07280771,0.04906203,30223.49711,91.0706127,41.682865,17.995822,99.187453,41.621428,1.00315174,99.229324,1.0,2989.506728
07/09/2016,451.88113942,0.68894915,0.0,0.0,0.0,0.90368609,0.0,0.52769645,67.28991783,82.36796312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02134536,0.04120781,30257.03575,110.8219202,58.392647,0.085807,98.286817,9.633928,0.92532193,99.184361,1.0,2390.729368
07/16/2016,494.5145257,0.68057536,0.0,0.0,0.0,0.88140194,0.0,0.53948339,67.02367035,82.46055496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02354944,0.0865445,29130.57693,102.9611648,63.861001,0.0,97.45754,0.0,0.93368173,98.523411,1.0,2491.989851
07/23/2016,522.95018951,0.67608049,0.0,0.0,0.0,0.87445326,0.0,0.55779118,66.89294273,82.53182667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01332164,0.08047531,29886.8177,103.1723634,50.790413,6.56803,97.004638,28.821471,0.92373378,97.990853,1.0,2545.724952
07/30/2016,542.25555528,0.67366773,0.0,0.0,0.0,0.87228651,0.0,0.59883384,66.63194045,82.4462497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05321923,0.07469752,29716.94151,87.56437449,49.326942,6.433649,98.34501,41.150992,0.95765972,99.153588,1.0,2774.402427
08/06/2016,474.32908299,0.70676696,0.0,0.0,0.0,0.88128241,0.0,0.60727285,66.50521779,82.44296797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04566621,0.0580394,29803.38062,91.3180746,44.304655,9.826653,97.476539,30.221567,0.9688313,99.068561,1.0,2732.103617
08/13/2016,407.02259117,0.7277481,0.0,0.0,0.0,0.88538213,0.0,0.59834567,66.46964161,82.26962933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00749686,0.0419729,29387.5941,103.3200229,49.132067,0.095053,97.153732,20.539901,0.88186508,97.440567,1.0,2443.023335
08/20/2016,355.11723901,0.73764342,0.0,0.0,0.0,0.88654889,0.0,0.57188947,66.258795,82.11500603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00613535,0.04014,29892.71171,102.3413454,44.750839,0.08211,97.291833,20.713023,0.91407861,99.135734,1.0,2464.993907
08/27/2016,315.55245059,0.74231035,0.0,0.0,0.0,0.88688094,0.0,0.5487356,66.25514167,81.90544052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01249981,0.04262023,29704.62276,105.3950756,51.010285,13.719777,98.053035,19.884648,0.88827264,99.245786,1.0,2483.813165
09/03/2016,284.65017487,0.7427677,0.0,0.0,0.0,0.91811497,0.0,0.53779911,66.30258613,81.54755529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04054877,0.05343367,29746.42311,88.61609371,53.452642,6.119468,99.047651,48.678292,0.97020824,99.321285,1.0,2953.026118
09/10/2016,260.03633485,0.7406434,0.0,0.0,0.0,0.95090852,0.0,0.51909358,66.54403346,81.12073814,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02388436,0.0923945,30165.60225,110.2401369,60.549509,4.884662,99.075891,23.864209,0.91322326,99.204717,1.0,2531.800396
