Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_5|3,LTV_30B_17__PVAL_4|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_5|5,MAS_SPD__PVAL_5|4,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_3|3#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.87137998,0.0,0.0,0.0,0.93705535,0.0,0.0,60.31227245,69.3054048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01476492,0.00981268,19163.33827,69.34349888,59.402516,0.0,100.0,2.613321,0.98925089,99.897425,1.0,2340.567435
06/18/2016,291.41323885,0.95866556,0.0,0.0,0.0,0.97283012,0.0,0.0,60.10397022,69.47637812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01538854,0.01723867,18859.0152,70.32723917,58.60919,0.443233,100.0,4.408782,1.0184728,100.0,1.0,2451.135916
06/25/2016,339.23948393,0.96740891,0.0,0.0,0.0,0.97419592,0.0,0.09086757,60.1187868,69.30539826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04050132,0.00975843,19074.09974,67.47398038,53.041262,14.812614,99.970477,29.637748,0.9748585,100.0,1.0,2444.715761
07/02/2016,385.80463494,0.96275816,0.0,0.0,0.0,0.95630947,0.0,0.16131101,60.18835259,69.22855729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03538707,0.00945617,19348.01049,68.52792058,46.512969,17.734953,99.955163,56.903339,1.0383232,100.0,1.0,2572.418458
07/09/2016,451.88113942,0.94353616,0.0,0.0,0.0,0.83184988,0.0,0.17315982,60.12898487,69.25230119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03932294,0.0153993,19275.9377,66.06735497,55.892074,5.135245,98.768264,34.347742,0.99534089,100.0,1.0,2551.543289
07/16/2016,494.5145257,0.94015782,0.0,0.0,0.0,0.80162524,0.0,0.18133717,60.11339794,69.21722809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03907523,0.01491269,19160.43035,67.45021584,59.036235,4.749623,98.445452,13.496427,0.97232993,99.974675,1.0,2467.679432
07/23/2016,522.95018951,0.93956407,0.0,0.0,0.0,0.79428527,0.0,0.20873795,59.97686355,69.06456936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04110186,0.01171194,19668.7961,68.1339831,58.532168,1.510925,97.972586,5.919358,0.96233811,99.988568,1.0,2458.209953
07/30/2016,542.25555528,0.93945971,0.0,0.0,0.0,0.79250279,0.0,0.21649204,59.92111821,69.29548476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03951163,0.01002008,19595.30187,66.89961918,55.525471,0.297367,97.952496,4.263997,0.98624628,99.968643,1.0,2473.720331
08/06/2016,474.32908299,0.96113964,0.0,0.0,0.0,0.80773327,0.0,0.23635999,60.00661392,69.48008221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03619576,0.00779342,19525.1351,71.18056481,60.843612,0.849579,98.974432,5.049404,0.93676042,100.0,1.0,2340.825268
08/13/2016,407.02259117,0.96618011,0.0,0.0,0.0,0.81360233,0.0,0.24203216,59.91474296,69.5031652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04782332,0.01400697,19507.24379,67.77616504,53.957834,3.906938,98.86329,33.272237,0.93411502,99.995442,1.0,2389.967544
08/20/2016,355.11723901,0.96670806,0.0,0.0,0.0,0.81490315,0.0,0.25872699,59.79654679,69.40514821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03392767,0.00843492,19560.37927,70.63019907,49.433053,16.741076,98.224171,25.793013,0.94188444,100.0,1.0,2327.852966
08/27/2016,315.55245059,0.96676336,0.0,0.0,0.0,0.81519147,0.0,0.2698343,59.48237995,69.28183674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02480644,0.03048393,19332.66242,69.28996468,57.993999,0.749898,99.753866,3.65379,0.98288192,100.0,1.0,2359.36827
