Variable,Coefficient,Std. Error,T Stat,Pval,Lower 95%,Upper 95%,VIF,Scale
TAS_SPD__APL_0.70|0.6|0,0.018822988119114547,0.18299748092045445,0.10285927447983037,0.918207616904154,-0.3401814699505964,0.37782744618882547,2.1719194314552976,
DEP_ALL__PVAL_3|3,147.62445227429853,434.492020193432,0.33976332225521066,0.7344947278135276,-704.7619929410894,1000.0108974896864,1.713402945544117,0.00034353192554003687
LTV_30B_17__PVAL_3|5,2.4217096160600585e-07,2.0605169317641165e-07,1.1752922670655785,0.2416800301276709,-1.6206125006743731e-07,6.46403173279449e-07,1.4787132475125535,5.451570582038569e-05
LTV_30B_18__PVAL_4|5,1358.3929473832366,317.2601723176545,4.281637173238232,3.239990309105787e-05,735.9919413305254,1980.7939534359477,1.1706919375071192,5.394486197477909e-05
LTV_30B_19__PVAL_3|5,2094.543720729931,490.2254446913981,4.272613230120006,3.3595137927227866e-05,1132.8194433344443,3056.2679981254178,1.289351510671619,5.07492998795753e-05
MAS_SPD__PVAL_3|3,16.421525553219336,157.1440880473078,0.10449979860696815,0.9169078275540186,-291.8637463779577,324.70679748439636,1.6236348257248046,0.004906420656554315
SUP_VID__PVAL_3|5,107.45884236443312,393.5166770132804,0.2730731596435152,0.7851604712518462,-664.5421746001416,879.4598593290079,2.0208185688869347,1.1699027997957818e-05
IRI_pctTD__PVAL_5|3#LAG_2,323.98184047450746,211.986506045679,1.5283135069205567,0.1284728711648656,-91.89328708586316,739.856968034878,1.9417716443517723,
IRI_BAS_PRC_1500ML__RA_5,-1.4886971182049442,25.40631310997728,-0.058595558976257754,0.9533497228494581,-51.33080217735329,48.3534079409434,1.8760630093919004,
IRI_BAS_PRC_750ML__RA_7,-1.5244760064604772,28.066625035655814,-0.054316327827937425,0.9567530871526173,-56.585581001404435,53.536628988483486,3.5312517442572435,
HOL_CHR_NEW,278.25182389291496,200.53549044347886,1.387544036607029,0.16726755253304107,-115.15870125906173,671.6623490448917,1.9994004966692862,
HOL_LAB,0.0,151.35412517600926,0.0,1.0,-296.9265227702647,296.9265227702647,1.1389530740276168,
HOL_MEM,0.0,182.622407134019,0.0,1.0,-358.26863831548195,358.26863831548195,1.112662531081749,
HOL_MOT,0.0,182.5313472859039,0.0,1.0,-358.08999710544975,358.08999710544975,1.1115532080509225,
HOL_NWY,0.0,155.97216509348104,0.0,1.0,-305.9861934803599,305.9861934803599,1.2095156948445542,
HOL_THK,310.7953745018834,198.67981858032456,1.5643026892347973,0.1197858681240776,-78.97469358895762,700.5654425927244,1.962568464895194,
HOL_VAT,140.7203949814586,150.59757276150168,0.9344134331056891,0.35154408355985045,-154.72192326202523,436.1627132249424,1.1275952848154152,
IRI_BAV_1500ML,2507.537491022372,1659.7465127501466,1.510795456872184,0.13287656102799245,-748.553217690534,5763.628199735278,2.7204218678301992,
IRI_BAV_750ML,1483.954798801521,873.5397799871585,1.698783309929327,0.0913663291886946,-229.75554157711167,3197.665139180154,2.4572195061667794,
IRI_TRD_DESEA,0.012684504560541085,0.012917473415831089,0.9819648279667069,0.3276474305633329,-0.01265699478663376,0.03802600390771593,1.3546082570109481,
IRI_WBR,0.07603287674962697,4.450969818103983,0.017082316856063366,0.9863929147037184,-8.655879712405877,8.807945465905131,3.1637425181950047,
IRI_pctAT,3.0639844057426533,1.7040099544293428,1.7981024100113039,0.07410698761393447,-0.27894232285649023,6.406911134341797,1.9451702377663609,
IRI_pctFD,2.860738261703737,2.5916734401707737,1.1038189524044486,0.2713823768812687,-2.2236066932227687,7.945083216630243,1.4441730713423384,
IRI_pctTA,4.60877244360264,314.27304692328676,0.014664867027962564,0.9883184074491574,-611.9320910104384,621.1496358976437,1.4545558689057174,
IRI_pctTF,5.24107407850521,1.6359062246342195,3.2037741525661643,0.0016467110616062396,2.031753247018125,8.450394909992294,2.185126523722333,
SEA_IRI_CORE_1,1385.1748773476118,392.4206273673816,3.529821779859753,0.0005476987308269771,615.324090578361,2155.0256641168626,3.6716898744972726,
WBR_TRD,-0.2212097815977634,684.4321860033921,-0.000323201898042631,0.9997425377938542,-1342.9402722829154,1342.49785271972,1.410431626676814,
Intercept,24.189673625234384,77417.43317529807,0.00031245770665711887,0.9997510966022708,-151853.33072965904,151901.71007690948,,
