Variable,06/11/2016,06/18/2016,06/25/2016,07/02/2016,07/09/2016,07/16/2016,07/23/2016,07/30/2016,08/06/2016,08/13/2016,08/20/2016,08/27/2016,09/03/2016,09/10/2016,09/17/2016,09/24/2016,10/01/2016,10/08/2016,10/15/2016,10/22/2016,10/29/2016,11/05/2016,11/12/2016,11/19/2016,11/26/2016,12/03/2016,12/10/2016,12/17/2016,12/24/2016,12/31/2016,01/07/2017,01/14/2017,01/21/2017,01/28/2017,02/04/2017,02/11/2017,02/18/2017,02/25/2017,03/04/2017,03/11/2017,03/18/2017,03/25/2017,04/01/2017,04/08/2017,04/15/2017,04/22/2017,04/29/2017,05/06/2017,05/13/2017,05/20/2017,05/27/2017,06/03/2017,06/10/2017,06/17/2017,06/24/2017,07/01/2017,07/08/2017,07/15/2017,07/22/2017,07/29/2017,08/05/2017,08/12/2017,08/19/2017,08/26/2017,09/02/2017,09/09/2017,09/16/2017,09/23/2017,09/30/2017,10/07/2017,10/14/2017,10/21/2017,10/28/2017,11/04/2017,11/11/2017,11/18/2017,11/25/2017,12/02/2017,12/09/2017,12/16/2017,12/23/2017,12/30/2017,01/06/2018,01/13/2018,01/20/2018,01/27/2018,02/03/2018,02/10/2018,02/17/2018,02/24/2018,03/03/2018,03/10/2018,03/17/2018,03/24/2018,03/31/2018,04/07/2018,04/14/2018,04/21/2018,04/28/2018,05/05/2018,05/12/2018,05/19/2018,05/26/2018,06/02/2018,06/09/2018,06/16/2018,06/23/2018,06/30/2018,07/07/2018,07/14/2018,07/21/2018,07/28/2018,08/04/2018,08/11/2018,08/18/2018,08/25/2018,09/01/2018,09/08/2018,09/15/2018,09/22/2018,09/29/2018,10/06/2018,10/13/2018,10/20/2018,10/27/2018,11/03/2018,11/10/2018,11/17/2018,11/24/2018,12/01/2018,12/08/2018,12/15/2018,12/22/2018,12/29/2018,01/05/2019,01/12/2019,01/19/2019,01/26/2019,02/02/2019,02/09/2019,02/16/2019,02/23/2019,03/02/2019,03/09/2019,03/16/2019,03/23/2019,03/30/2019,04/06/2019,04/13/2019,04/20/2019,04/27/2019,05/04/2019,05/11/2019,05/18/2019,05/25/2019,06/01/2019
TAS_SPD,2967.3444390800005,4100.064243520001,4795.0143925799985,5471.532206920001,6418.317841800001,7042.867806800002,7469.830417050001,7767.927727820001,6860.97385549,5950.65267547,5241.3055911599995,4693.89558771,4260.505192630001,3910.38814912,3646.307999070001,3448.599032219999,3551.84676058,4912.074037779998,5737.41982962,6279.802126369999,6649.143470059999,6185.623158790002,5525.053372770001,5020.88539187,4640.04590954,4447.62895772,4430.279172,4416.77018064,4406.17481288,4397.804356790001,5526.789797369999,6310.756552699999,6896.9619325600015,7358.652748909999,7738.095862660001,8061.556346479998,8346.062489540001,8602.95168623,8528.49771484,8280.43969861,8102.24895467,7974.782357540002,7727.5676413599995,6542.361512149998,5600.404800319999,4856.78688703,4274.348145530001,3941.3662070899995,3709.920845999999,3536.0670904799995,3405.77798616,3198.9768220700007,2888.6880687899998,2651.2773860299994,2470.9959459900006,2376.1185946599994,2546.1972191100003,2659.3576561800005,2735.7857799400003,2787.8141398099997,3356.74584376,3907.968246969999,4270.35946798,4517.09188963,4481.5269251,3905.9458303700007,3458.9543816400005,3115.25862167,2853.6316895399996,3203.8129446899993,3436.19830712,3594.6933932899997,3704.5728029700003,3894.89705904,4108.598097960001,4256.74424202,4360.78455205,4301.349956679999,3910.6563623,3615.9829837400007,3395.8662925599992,3232.7640932600007,4833.887775870001,5976.4367370400005,6888.103086700001,7660.095871020001,8340.00518821,8955.780917329997,9524.97299261,10059.094190389998,10105.50138254,9696.11656836,9399.93985581,9186.95880831,9034.4786659,7654.657922999998,6559.039874930002,5695.074270259999,5019.245708270001,4889.96356007,4946.15826075,4981.978981810002,5004.27793149,5026.02327016,5060.31869375,5082.95499283,5097.688267109999,5107.079533270001,4888.88381767,4728.8803788099995,4611.944139900001,4526.597698930001,4794.069593680001,5208.84228473,5490.349628750001,5685.11442539,5735.582282840001,5238.435620270001,4864.584172969999,4586.069516840001,4380.16140201,4966.725417409999,5465.479085410001,5802.374213540001,6035.002893920001,5982.6378600299995,5649.18938857,5404.126738999999,5225.215068190001,5289.34840867,6405.691557089999,7125.539763310001,7610.969144950001,7946.326370260001,8082.862596900001,8344.030732629999,8687.048363219998,9081.50838907,9506.577069480001,9948.326694820002,10397.611798070002,10848.521673330002,11148.53096322,11321.596968379998,11446.258500540003,11536.738923289999,11602.899897050002,10092.35721738,8615.6860871,7448.96867505,6534.301608260002,5754.645436139999,5093.27706436,4580.87045554,4187.204734170001,3835.5625685800005
DEP_ALL,8.207363240000001,10.1953401,10.953787109999999,11.135288259999998,10.808649520000001,10.70825486,10.6656663,10.64484693,11.134325800000001,11.356722770000001,11.442952340000001,11.481473770000001,11.47534396,11.443468319999997,11.433516970000001,11.429326260000002,11.472841210000002,11.734996670000001,11.81531305,11.84765243,11.861487809999998,11.62792441,11.442012650000002,11.37224244,11.34066927,11.63215719,12.0429721,12.165713629999999,12.211839620000001,12.229912310000001,11.596401329999997,11.381154030000001,11.290419089999999,11.251891520000001,11.237879399999997,11.235770180000001,11.23949368,11.24607396,11.810214310000001,12.270026790000001,12.405419960000001,12.45324477,12.32815327,10.821792039999998,10.17796945,9.84810325,9.664010880000001,10.162887539999998,10.40238931,10.497676980000001,10.54346664,10.838801550000003,11.248078670000002,11.388905520000002,11.44998516,11.447058740000001,11.251697339999996,11.185958129999998,11.156916100000002,11.142944620000002,11.178625379999998,11.20613406,11.216241329999999,11.220810600000002,11.239638529999999,11.287098860000002,11.303471179999997,11.310691739999998,11.314102389999999,11.635993930000001,11.733824390000002,11.773484759999999,11.790668259999999,11.685554809999998,11.56168706,11.518153320000001,11.499137509999997,11.622957589999999,11.94653317,12.043358529999999,12.08073522,12.09590166,11.929910749999998,11.856530629999998,11.805994849999998,11.763637560000001,11.72426134,11.685703709999999,11.647011770000002,11.60774732,11.834976490000003,12.16504591,12.262214129999998,12.29798967,12.31168674,10.981695469999998,10.437175610000002,10.165437350000001,10.01758791,10.363662909999999,10.61713712,10.711982299999999,10.756167529999999,10.910907199999999,11.26033269,11.37797314,11.428819229999998,11.45228049,11.135458269999999,11.025810369999999,10.976368509999999,10.952005719999999,11.00606267,11.070501209999998,11.09354111,11.10394806,11.11218334,11.13475254,11.142860559999999,11.14653296,11.14831249,11.670263459999997,11.892072690000003,11.97217041,12.004437820000001,11.96811896,11.88963565,11.864121359999999,11.853770560000001,11.914180769999998,12.266090499999999,12.36296197,12.39710063,12.40976737,12.430267340000002,12.32284275,12.16476902,11.97002773,11.73898404,11.466483420000003,11.14375462,10.758358909999998,10.992504219999997,11.815781,11.998576490000001,12.071914720000002,12.101734689999999,10.848235960000002,10.10580645,9.748151009999997,9.55212061,10.18748006,10.536326070000001,10.67149568,10.735288040000002,10.90033639
LTV_30B_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.134577469999998,2.9925438200000003,1.1008953199999998,0.4049967299999999,0.14898994999999998,0.05481039999999998,0.020163579999999997,0.007417769999999999,0.0027288300000000002,0.0010039299999999999,0.0003692600000000001,0.00013585,4.995000000000001e-05,1.8370000000000002e-05,6.79e-06,2.4799999999999995e-06,9.299999999999998e-07,3.0999999999999994e-07,1.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTV_30B_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.882286639999998,3.51945136,1.4474829199999997,0.6251462200000001,0.2861717,0.13935965999999997,0.07193988,0.0390036,0.02195354,0.012688899999999998,0.00746566,0.004443380000000001,0.0026638000000000005,0.0016042199999999997,0.00096882,0.00058606,0.00035490000000000006,0.00021501999999999998,0.00013035999999999994,7.898e-05,4.79e-05,2.906e-05,1.762e-05,1.068e-05,6.48e-06,3.94e-06,2.38e-06,1.44e-06,8.8e-07,5.4e-07,3.2e-07,2e-07,1.2e-07,8e-08,4e-08,2e-08,2e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTV_30B_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.402315909999997,3.4589187200000002,1.27246508,0.46811372999999995,0.17220940999999998,0.06335233,0.02330599,0.00857379,0.0031541100000000003,0.00116038,0.00042683000000000006,0.00015703,5.7749999999999994e-05,2.1250000000000008e-05,7.84e-06,2.8699999999999996e-06,1.0799999999999998e-06,3.699999999999999e-07
MAS_SPD,9.17729438,10.94364826,11.51956918,11.3666725,9.956648909999998,9.34146099,9.035298070000001,8.867520390000001,8.91177926,8.936324769999999,8.93995801,8.939098620000001,9.455774439999999,10.197599169999998,10.459938669999998,10.57322693,10.57304131,10.23206146,10.107088090000001,10.051687399999999,10.024190820000001,10.83164033,11.317066429999999,11.475128780000002,11.535431509999997,11.716583009999999,11.955098079999997,12.020835940000001,12.042373609999999,12.049879479999998,9.365414450000001,7.81600029,6.815020410000001,6.1039221,5.5575688,5.1093852,4.720797060000001,4.367803090000001,4.157100570000001,4.0316762200000005,3.9408686699999995,3.8750827300000004,3.90629857,4.3728910800000005,4.63861775,4.79670052,4.8941309,5.64617096,6.138321969999999,6.40443338,6.5577166899999995,6.667644999999999,6.75707213,6.810659529999999,6.844186489999999,6.850815740000001,6.766593120000001,6.72504382,6.702979280000001,6.690465560000001,5.600452270000001,4.350672210000001,3.4740359800000005,2.8402581000000002,3.0660481399999995,4.631239429999999,5.4219741400000006,5.84613791,6.0865761,6.6139652899999986,6.88616561,7.0380214400000005,7.128036080000001,7.03097844,6.8703809399999995,6.789679940000001,6.746035640000001,6.758368700000001,6.85462368,6.901969150000001,6.92719858,6.941607720000001,6.556333169999999,6.713971969999999,7.11966811,7.609869869999999,8.104981760000001,8.57142645,8.99751609,9.381028650000001,8.931759829999999,7.6456212500000005,6.934738299999999,6.515277710000001,6.254988979999999,7.4321179299999995,7.91296575,8.136551870000002,8.25294441,7.83393861,7.41663758,7.199707129999999,7.077969090000001,7.31446729,8.08794857,8.41291938,8.570176479999999,8.654661779999998,7.074959290000001,6.13704551,5.5488479900000005,5.16528584,4.900933639999999,4.71517726,4.58711153,4.49773799,5.29286551,8.810346390000001,9.88260844,10.318190969999998,10.51963214,9.706224259999999,9.174228720000002,8.926148620000001,8.79618772,8.5570802,8.18755103,8.002310699999999,7.90041394,7.935868579999999,8.46834143,8.685195830000001,8.7878524,8.84218033,7.89425258,7.479339339999999,7.320974729999999,7.293361969999999,7.3356585800000005,7.416502899999999,7.518714750000001,7.63237873,8.373058740000001,9.88981599,10.39965429,10.61436323,10.713737920000002,8.637255320000001,6.776720650000001,5.55423285,4.71573515,6.151152359999999,6.5032575900000005,6.671485690000002,6.75693829,7.1202035200000005
SUP_VID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.874999999999999e-05,1.7935428500000001,4.13494415,7.9985360100000005,3.3558923400000005,1.3978619900000002,0.6841508000000001,0.38478752999999993,0.28426197,0.36216817999999995,0.19010474000000002,0.0699356,0.025727859999999998,0.009464750000000001,0.0034818999999999996,0.0012809299999999998,0.00047120000000000007,0.00017339,6.377e-05,2.343e-05,8.6e-06,3.19e-06,1.1699999999999998e-06,4.5000000000000003e-07,1.7000000000000001e-07,3.0000000000000004e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28768293,1.98964455,2.6906775400000003,2.3789281000000004,2.0624449899999995,1.77667832,1.44851764,1.09403709,1.1401399900000002,0.54183945,0.19933156999999999,0.07332997,0.02697663,0.009924169999999998,0.0036508600000000006,0.0013430599999999999,0.00049409,0.00018175000000000003,6.689e-05,2.458e-05,9.07e-06,3.3299999999999995e-06,1.2199999999999998e-06,4.7000000000000005e-07,2.0000000000000002e-07,3.0000000000000004e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72273507,2.6647274100000002,9.394409790000001,4.9750348099999995,3.64013142,3.6252725900000007,3.0043237400000002,2.67416083,2.7340663000000003,2.6921130999999994,1.66501619,0.61252528,0.2253354,0.08289628,0.03049586,0.0112188,0.00412712,0.00151827,0.0005585500000000001,0.00020545999999999997,7.557000000000001e-05
IRI_pctTD,0.0,0.0,3.16106109,4.45605925,5.11999754,5.504833689999999,5.64889024,5.863766689999999,5.816457700000001,5.82952025,5.63871631,5.85297539,6.062397799999999,5.99935861,6.113476149999999,6.52790287,6.75393676,7.044614999999999,7.10381413,6.86249111,6.83059454,6.91126297,6.92658194,6.79504542,6.709775959999999,6.81736062,6.7585775,6.65742498,6.51254813,6.84457173,7.02942029,7.736330370000001,7.598002870000001,7.538234190000001,7.51264987,7.501726560000001,7.49529178,7.48726894,7.47374093,7.452044719999999,7.2714745999999995,7.08938419,6.9865637,7.2631666,7.3342797,7.59592733,7.505939690000001,7.272953169999999,6.881170040000001,6.9215982799999995,6.831814690000001,6.434044700000001,6.257213930000001,6.247466490000001,5.74711908,5.90002456,5.82421722,5.675673230000001,5.828886450000001,6.13078362,6.37517894,6.462476799999999,6.028771900000001,5.666277080000001,5.599171630000001,5.77187302,5.43033498,6.0392065,5.64007043,5.58178648,5.46985937,5.434762060000001,5.394975009999999,5.839179110000001,6.011155140000001,6.054871169999999,6.0517042000000005,5.74740708,5.60258595,5.48440023,5.10248084,5.480582369999999,5.92034501,6.78126234,6.70837463,6.66630605,6.64742363,6.642995069999999,6.6461802699999994,6.652205930000001,6.65790457,6.66123048,6.03154461,5.87494487,5.762833359999999,6.2747163,6.569147820000001,6.388389639999999,6.0268197,5.63329521,5.535702779999999,5.31459345,5.756412119999999,5.78635091,5.81169857,5.7990084,5.91858244,5.75612851,5.8650364900000005,5.610958169999999,5.381768879999999,5.4194935,5.39605523,5.6369514800000005,5.74381329,5.937859270000001,6.004094159999999,5.931617509999999,5.53442198,5.42411736,5.28329403,5.530016410000001,5.46974712,5.24533957,5.437496370000001,5.15432148,5.283282600000001,5.200449090000001,5.98510665,5.42820496,5.256938860000001,4.91187634,4.980605559999999,5.041125380000001,5.39382433,5.83324993,6.4642203700000005,6.63354312,6.7000474599999995,6.73173732,6.74174925,6.7305765200000005,6.69467184,6.6280931800000005,6.71142522,6.5707282,6.422436840000001,6.74302416,6.687212680000001,6.821043550000001,6.95517348,6.24910424,6.61777097,6.315634760000001,6.0210382099999995,6.009039719999999
IRI_BAS_PRC_1500ML,894.5089767900001,907.4309799499999,915.4158372199998,915.05374199,929.20147441,944.18994516,944.3052694099998,943.5965321400001,942.0629807,941.53860945,940.8215136599998,940.1002191800001,939.5943143300001,938.45125176,937.4881684699999,936.3276472299999,934.3257156999999,930.87069834,927.4200356,923.88473266,922.0505400699999,919.48029736,917.11034478,915.1164391100001,912.54707831,909.8400663900002,907.0919748399999,907.0318617600001,907.34801347,909.5869613900002,910.9214322999998,913.0065893999999,915.0173101800001,916.4610723,916.14485387,915.98397051,915.27766379,915.92452,915.72493116,913.7550980499998,915.1301539,918.2500755799999,921.0671653600002,923.8238071000001,926.42384144,928.2236975000001,930.3095626300001,929.6888099099999,928.6924620800002,928.2600902000001,926.65741839,923.7060062099999,922.53621236,921.2288935000001,919.90902392,918.5464790000001,916.9459110200002,915.7004004100002,913.9512305,912.18487003,911.0791793699999,910.4476840499999,909.8792103500002,911.62887101,914.4314117500002,916.74391876,918.2420826299999,919.0864453900001,918.5199573200001,917.4757890700001,916.35520625,914.9604978700002,914.12191521,913.40553723,912.289581,911.8971959999999,909.56717683,907.34330104,905.04128765,903.11289177,902.38523642,902.84353921,902.8492419800002,902.7187540099999,901.8902995600001,902.45150734,903.60099132,903.7005827500001,907.13116766,910.8320618500001,912.6502445200001,915.13187761,917.41834962,919.5191744200001,921.47517009,922.6775504999999,922.71514261,922.9834637700001,922.27292878,920.9723484799999,919.5348833699999,917.87595038,914.5266762400001,911.94568255,909.8653588299999,908.0785515200001,905.6625303999999,904.87943,902.39053449,901.5222094200001,901.7445912900001,902.14654135,901.54685221,902.2982544200001,902.1917486299999,904.03559752,905.0011781799999,905.2041574100001,905.3721516899999,904.4463612400002,902.41628308,901.4184869999999,900.00320394,898.165401,897.0600798900001,895.74942304,894.39084817,893.0006479100002,891.0379438800001,888.65668679,886.6100348899998,885.27403431,884.5949612,885.64218662,886.64913791,887.59474584,887.3797289799999,887.6847454899998,887.4307616099999,885.65241055,886.0476099799998,889.7813157199998,893.12077669,896.2036292000001,900.9928151199999,905.42223693,910.9539633200001,914.3233469500001,915.79241962,917.32693305,920.12586535,920.5778101599999,921.46044754,921.9718846700001,923.50408313,923.5110790700002
IRI_BAS_PRC_750ML,977.32487128,1000.17442394,1014.32204183,1032.48526637,1053.16934819,1073.4171100199999,1074.86615214,1074.11631094,1072.70325854,1071.01559832,1069.68270027,1067.32059383,1067.11857268,1067.03962808,1066.87305066,1066.0111524400002,1065.2688380599998,1061.57464285,1057.64782937,1053.75372328,1050.7486572899998,1047.92740437,1045.55095965,1044.40487571,1042.2401300600002,1039.3665537299999,1037.0245642900002,1035.6338177100001,1032.82847954,1031.36229319,1030.08417534,1028.1727670100004,1027.69277775,1026.93223025,1024.3967045400002,1022.97360444,1023.9801033199999,1024.6707630100002,1024.57490221,1023.94262428,1022.3015617799999,1023.9479817800001,1026.05061633,1028.7724211099999,1032.5639828800001,1037.9003647199997,1041.02574956,1042.79819486,1044.53896284,1046.26201294,1047.70549878,1046.3282945400001,1044.39809319,1043.5469283300001,1042.38815628,1043.03359925,1045.9369642499998,1048.29588944,1050.62483267,1051.82207216,1052.9298561599999,1052.88101608,1051.56351262,1048.50073933,1046.62048092,1045.14424318,1043.2943054,1042.04128224,1042.0770257899999,1041.37700819,1040.4205621199999,1040.4241938,1040.31042651,1038.70750077,1037.70276929,1037.0925227,1036.02815684,1034.32701955,1033.5283899100002,1032.9545581,1031.33024996,1028.87777319,1027.0707499400003,1024.0773537399998,1021.71923296,1021.4008447899998,1022.36594682,1021.4227118800001,1021.10754866,1023.24203382,1026.11843583,1026.87718795,1030.1085779499997,1034.48649928,1035.7590954500001,1035.40446706,1035.3413845,1035.25822348,1035.20281772,1037.49431962,1039.59533771,1041.75779337,1042.0818131600001,1041.75980062,1038.6430874900002,1035.4923719299998,1032.50927018,1030.84677777,1029.39667125,1028.62399892,1029.0419104000002,1031.38724279,1033.72232057,1035.2617034799998,1037.4217278899998,1037.46086541,1036.6357757399999,1035.9660128399998,1035.79348815,1035.7958253000002,1038.27422871,1039.923699,1041.20725238,1043.62972712,1046.32136744,1045.71543349,1043.9710230500002,1043.2422810799999,1040.7650758,1038.94986947,1037.8961532300002,1037.11261126,1034.5839670799999,1033.1644155399997,1029.87500402,1026.32778198,1022.0206344799999,1020.9240965,1019.81860372,1018.0053619099999,1017.24136409,1019.1528186200001,1018.5653721399999,1017.17779509,1018.99036476,1022.0832545400001,1024.91318814,1027.72593516,1030.86665845,1032.7396933300001,1035.00097639,1037.5752738699998,1040.60751835,1043.8132671,1047.30249615,1049.66176975
